player,nationality,position,age,club,league,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Philipe Sampaio,BRA,DF,28,Botafogo (RJ),Brazilian League,5.5,371.0,47.0,170.0,196.0,5.0,4.0,371.0,1.0,0.0,0.0,1.0,100.0,237.0,1257.0,722.0,4.0,0.0,0.0,1.0,0.0,249.0,0.0
Gustavo Sauer,BRA,"FW,MF",29,Botafogo (RJ),Brazilian League,2.9,119.0,1.0,12.0,49.0,60.0,5.0,119.0,9.0,7.0,77.8,1.0,11.1,74.0,483.0,182.0,5.0,6.0,1.0,7.0,5.0,83.0,18.0
Diego Costa,ESP,FW,34,Botafogo (RJ),Brazilian League,5.7,188.0,5.0,12.0,71.0,107.0,28.0,188.0,7.0,2.0,28.6,4.0,57.1,105.0,560.0,183.0,9.0,5.0,2.0,13.0,10.0,145.0,42.0
Matias Segovia,PAR,FW,20,Botafogo (RJ),Brazilian League,7.2,437.0,7.0,76.0,189.0,177.0,26.0,437.0,31.0,12.0,38.7,15.0,48.4,317.0,2124.0,1046.0,43.0,22.0,15.0,25.0,9.0,320.0,74.0
Janderson,BRA,"FW,MF",23,Botafogo (RJ),Brazilian League,4.6,189.0,4.0,11.0,76.0,108.0,25.0,189.0,22.0,9.0,40.9,12.0,54.5,107.0,730.0,339.0,16.0,8.0,5.0,23.0,7.0,125.0,31.0
JP Galvão,BRA,DF,21,Botafogo (RJ),Brazilian League,2.2,118.0,8.0,40.0,53.0,26.0,0.0,118.0,3.0,0.0,0.0,2.0,66.7,51.0,237.0,111.0,2.0,0.0,0.0,2.0,2.0,51.0,10.0
Bastos,ANG,DF,31,Botafogo (RJ),Brazilian League,1.3,84.0,7.0,35.0,44.0,5.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,33.0,129.0,87.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0
Carlos Alberto,BRA,"FW,MF",20,Botafogo (RJ),Brazilian League,3.3,127.0,4.0,17.0,48.0,66.0,16.0,127.0,17.0,8.0,47.1,7.0,41.2,83.0,630.0,302.0,10.0,7.0,2.0,9.0,5.0,83.0,29.0
Matheus Nascimento,BRA,"FW,MF",18,Botafogo (RJ),Brazilian League,1.1,29.0,0.0,0.0,17.0,13.0,6.0,29.0,1.0,0.0,0.0,0.0,0.0,15.0,110.0,21.0,1.0,2.0,0.0,4.0,2.0,21.0,4.0
Luis Segovia,ECU,DF,25,Botafogo (RJ),Brazilian League,1.1,52.0,6.0,29.0,22.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,39.0,255.0,177.0,1.0,0.0,0.0,1.0,0.0,38.0,0.0
Daniel Borges,BRA,DF,29,Botafogo (RJ),Brazilian League,0.5,27.0,1.0,18.0,7.0,2.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,13.0,52.0,5.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0
Gatito Fernández,PAR,GK,34,Botafogo (RJ),Brazilian League,0.5,15.0,13.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Diego Hernández,URU,FW,22,Botafogo (RJ),Brazilian League,0.5,22.0,1.0,5.0,6.0,11.0,2.0,22.0,1.0,0.0,0.0,1.0,100.0,10.0,57.0,18.0,1.0,1.0,0.0,3.0,1.0,14.0,3.0
Kayque,BRA,MF,22,Botafogo (RJ),Brazilian League,0.3,27.0,0.0,6.0,14.0,7.0,0.0,27.0,2.0,0.0,0.0,2.0,100.0,16.0,74.0,38.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0
Mateo Ponte,URU,DF,19,Botafogo (RJ),Brazilian League,0.2,15.0,2.0,3.0,11.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,100.0,6.0,23.0,17.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0
Lucas Piazon,BRA,FW,29,Botafogo (RJ),Brazilian League,0.2,8.0,0.0,1.0,4.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,53.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0
Breno,BRA,MF,22,Botafogo (RJ),Brazilian League,0.1,9.0,1.0,5.0,3.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,9.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0
Newton,BRA,MF,22,Botafogo (RJ),Brazilian League,0.1,8.0,0.0,0.0,4.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,29.0,6.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0
Rai,BRA,MF,20,Botafogo (RJ),Brazilian League,0.0,6.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,8.0,0.0,1.0,0.0,1.0,1.0,7.0,1.0
Cleiton Schwengber,BRA,GK,25,Red Bull Bragantino,Brazilian League,33.0,1102.0,792.0,1080.0,21.0,2.0,2.0,1102.0,1.0,1.0,100.0,0.0,0.0,614.0,3550.0,2207.0,0.0,0.0,0.0,0.0,0.0,455.0,0.0
Juninho Capixaba,BRA,DF,25,Red Bull Bragantino,Brazilian League,31.9,2536.0,92.0,561.0,1316.0,696.0,51.0,2536.0,59.0,22.0,37.3,29.0,49.2,1343.0,7550.0,4067.0,71.0,73.0,5.0,41.0,19.0,1436.0,127.0
Lucas Evangelista,BRA,MF,27,Red Bull Bragantino,Brazilian League,30.2,1908.0,34.0,195.0,843.0,880.0,76.0,1908.0,75.0,31.0,41.3,30.0,40.0,1014.0,4138.0,1705.0,34.0,40.0,7.0,63.0,49.0,1282.0,151.0
Matheus Fernandes,BRA,MF,24,Red Bull Bragantino,Brazilian League,26.0,1576.0,40.0,287.0,1009.0,303.0,14.0,1576.0,51.0,30.0,58.8,17.0,33.3,856.0,3963.0,2040.0,41.0,45.0,2.0,42.0,24.0,936.0,46.0
Eduardo Sasha,BRA,"FW,MF",30,Red Bull Bragantino,Brazilian League,24.8,925.0,19.0,58.0,407.0,466.0,101.0,922.0,31.0,13.0,41.9,16.0,51.6,541.0,2072.0,855.0,23.0,27.0,8.0,48.0,25.0,680.0,141.0
