player,nationality,position,age,club,league,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
João Araújo,BRA,MF,17.0,Grêmio,Brazilian League,0.1,2.0,1,1.0,0.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0
Éverson,BRA,GK,32.0,Atlético Mineiro,Brazilian League,36.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,18.0,0.0
Paulinho,BRA,"FW,MF",22.0,Atlético Mineiro,Brazilian League,33.2,43.0,31,14.0,24.0,5.0,18.0,37.0,48.6,19.0,25.0,1.0,24.0,16,59.0,17.0,0.0
Hulk,BRA,FW,36.0,Atlético Mineiro,Brazilian League,32.7,28.0,21,6.0,14.0,8.0,9.0,22.0,40.9,13.0,12.0,3.0,9.0,1,29.0,37.0,0.0
Jemerson,BRA,DF,30.0,Atlético Mineiro,Brazilian League,27.5,30.0,20,19.0,10.0,1.0,16.0,33.0,48.5,17.0,31.0,24.0,7.0,31,61.0,104.0,1.0
Guilherme Arana,BRA,DF,25.0,Atlético Mineiro,Brazilian League,26.5,42.0,29,25.0,16.0,1.0,15.0,25.0,60.0,10.0,31.0,10.0,21.0,32,74.0,56.0,0.0
Otávio,BRA,MF,28.0,Atlético Mineiro,Brazilian League,25.6,75.0,40,33.0,35.0,7.0,34.0,84.0,40.5,50.0,41.0,16.0,25.0,27,102.0,34.0,0.0
Mauricio Lemos,URU,DF,27.0,Atlético Mineiro,Brazilian League,24.6,41.0,29,30.0,9.0,2.0,27.0,35.0,77.1,8.0,31.0,25.0,6.0,41,82.0,120.0,0.0
Federico Zaracho,ARG,"MF,FW",24.0,Atlético Mineiro,Brazilian League,21.6,71.0,42,27.0,37.0,7.0,27.0,92.0,29.3,65.0,29.0,4.0,25.0,31,102.0,22.0,0.0
Cristian Pavón,ARG,"FW,MF",27.0,Atlético Mineiro,Brazilian League,21.5,33.0,28,13.0,11.0,9.0,17.0,58.0,29.3,41.0,23.0,0.0,23.0,19,52.0,9.0,0.0
Renzo Saravia,ARG,DF,29.0,Atlético Mineiro,Brazilian League,19.0,61.0,39,29.0,25.0,7.0,38.0,74.0,51.4,36.0,35.0,7.0,28.0,17,78.0,48.0,0.0
Rodrigo Battaglia,ARG,MF,31.0,Atlético Mineiro,Brazilian League,19.2,39.0,29,15.0,22.0,2.0,20.0,37.0,54.1,17.0,22.0,9.0,13.0,12,51.0,22.0,1.0
Mariano,BRA,DF,36.0,Atlético Mineiro,Brazilian League,17.4,48.0,31,30.0,16.0,2.0,34.0,50.0,68.0,16.0,11.0,4.0,7.0,20,68.0,33.0,1.0
Igor Gomes,BRA,"MF,FW",23.0,Atlético Mineiro,Brazilian League,15.3,20.0,14,12.0,6.0,2.0,14.0,29.0,48.3,15.0,17.0,4.0,13.0,11,31.0,9.0,0.0
Edenílson,BRA,"MF,FW",33.0,Atlético Mineiro,Brazilian League,15.2,21.0,12,11.0,7.0,3.0,15.0,26.0,57.7,11.0,20.0,2.0,18.0,18,39.0,22.0,1.0
Rubens,BRA,"DF,MF",21.0,Atlético Mineiro,Brazilian League,15.0,81.0,49,47.0,22.0,12.0,30.0,55.0,54.5,25.0,16.0,3.0,13.0,19,100.0,58.0,0.0
Bruno Fuchs,BRA,DF,23.0,Atlético Mineiro,Brazilian League,12.1,13.0,6,11.0,2.0,0.0,4.0,8.0,50.0,4.0,11.0,5.0,6.0,16,29.0,53.0,0.0
