player,nationality,position,age,club,league,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Cher Ndour,ITA,MF,19,Braga,Primeira Liga,2.3,1,2,1.0,50.0,0.85,0.43,0.5,1.0,11.5,0.0,0,0,0.3,0.3,0.15,0.7,0.7
André Castro,POR,MF,35,Braga,Primeira Liga,0.5,0,1,0.0,0.0,2.2,0.0,0.0,0.0,17.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Nuno Matos,POR,DF,18,Braga,Primeira Liga,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Jota Silva,POR,"FW,MF",23,Vitória,Primeira Liga,30.9,11,95,36.0,37.9,3.08,1.17,0.12,0.31,15.6,0.0,0,0,8.0,8.0,0.08,3.0,3.0
Tomás Händel,POR,MF,22,Vitória,Primeira Liga,28.0,2,25,5.0,20.0,0.89,0.18,0.08,0.4,21.4,1.0,0,0,1.7,1.7,0.07,0.3,0.3
Jorge Filipe Oliveira Fernandes,POR,DF,26,Vitória,Primeira Liga,27.1,1,17,4.0,23.5,0.63,0.15,0.06,0.25,11.0,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1
Tomás Ribeiro,POR,DF,24,Vitória,Primeira Liga,27.0,1,16,3.0,18.8,0.59,0.11,0.06,0.33,12.5,0.0,0,0,1.9,1.9,0.12,-0.9,-0.9
Tiago Silva,POR,MF,30,Vitória,Primeira Liga,25.9,5,33,14.0,42.4,1.27,0.54,0.03,0.07,30.3,8.0,4,5,5.2,1.2,0.04,-0.2,-0.2
Bruno Gaspar,ANG,"MF,DF",30,Vitória,Primeira Liga,25.4,2,17,3.0,17.6,0.67,0.12,0.12,0.67,15.2,0.0,0,0,1.6,1.6,0.09,0.4,0.4
Bruno Varela,CPV,GK,28,Vitória,Primeira Liga,26.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Toni Borevkovic,CRO,DF,26,Vitória,Primeira Liga,22.7,0,14,4.0,28.6,0.62,0.18,0.0,0.0,11.1,0.0,0,0,1.6,1.6,0.12,-1.6,-1.6
Ricardo Mangas,POR,"MF,DF",25,Vitória,Primeira Liga,21.2,1,23,3.0,13.0,1.09,0.14,0.04,0.33,13.0,0.0,0,0,2.0,2.0,0.09,-1.0,-1.0
André Silva,BRA,FW,26,Vitória,Primeira Liga,19.7,10,53,17.0,32.1,2.69,0.86,0.19,0.59,16.9,0.0,0,1,6.7,5.8,0.11,3.3,4.2
Manuel Manu,POR,"DF,MF",22,Vitória,Primeira Liga,19.7,2,17,5.0,29.4,0.86,0.25,0.12,0.4,16.6,1.0,0,0,1.3,1.3,0.08,0.7,0.7
João Mendes,POR,"FW,MF",28,Vitória,Primeira Liga,16.0,7,50,14.0,28.0,3.12,0.87,0.14,0.5,21.7,1.0,0,0,5.6,5.6,0.11,1.4,1.4
Afonso freitas,POR,"DF,MF",23,Vitória,Primeira Liga,8.1,0,4,0.0,0.0,0.5,0.0,0.0,0.0,14.5,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Nuno Santos,POR,"FW,MF",24,Vitória,Primeira Liga,10.7,2,29,6.0,20.7,2.72,0.56,0.07,0.33,22.3,0.0,0,0,1.8,1.8,0.06,0.2,0.2
Miguel Magalhães,POR,"DF,MF",20,Vitória,Primeira Liga,9.9,0,3,1.0,33.3,0.3,0.1,0.0,0.0,16.1,0.0,0,0,0.6,0.6,0.2,-0.6,-0.6
Daniel Bandeira,POR,MF,23,Vitória,Primeira Liga,7.8,1,8,4.0,50.0,1.02,0.51,0.13,0.25,22.8,0.0,0,0,0.3,0.3,0.04,0.7,0.7
Charles,BRA,GK,29,Vitória,Primeira Liga,7.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
André André,POR,MF,33,Vitória,Primeira Liga,7.3,0,7,1.0,14.3,0.96,0.14,0.0,0.0,20.3,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4
Nélson Oliveira,POR,FW,31,Vitória,Primeira Liga,6.7,2,15,6.0,40.0,2.24,0.89,0.13,0.33,16.5,0.0,0,0,1.6,1.6,0.11,0.4,0.4
Mikel Villanueva,VEN,DF,30,Vitória,Primeira Liga,5.1,0,4,1.0,25.0,0.79,0.2,0.0,0.0,15.4,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3
Kaio,BRA,FW,19,Vitória,Primeira Liga,4.7,0,7,3.0,42.9,1.49,0.64,0.0,0.0,20.2,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4
Adrián Butzke,ESP,FW,24,Vitória,Primeira Liga,4.1,0,4,1.0,25.0,0.98,0.24,0.0,0.0,27.3,0.0,0,1,1.3,0.5,0.12,-1.3,-0.5
Zé Carlos,POR,"MF,DF",21,Vitória,Primeira Liga,4.7,0,2,0.0,0.0,0.43,0.0,0.0,0.0,18.2,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2
Nelson,ANG,"DF,FW",25,Vitória,Primeira Liga,4.5,1,6,2.0,33.3,1.32,0.44,0.17,0.5,23.2,0.0,0,0,0.7,0.7,0.11,0.3,0.3
Safira,BRA,FW,28,Vitória,Primeira Liga,1.6,1,3,2.0,66.7,1.87,1.25,0.0,0.0,17.5,0.0,1,1,1.9,1.1,0.36,-0.9,-1.1
Alberto costa,POR,DF,19,Vitória,Primeira Liga,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Gonçalo Nogueira,POR,MF,19,Vitória,Primeira Liga,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Gonçalo Franco,POR,MF,22,Moreirense,Primeira Liga,30.2,2,45,5.0,11.1,1.49,0.17,0.04,0.4,25.2,1.0,0,0,1.9,1.9,0.04,0.1,0.1
Kewin,BRA,GK,27,Moreirense,Primeira Liga,29.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Maracás,BRA,DF,29,Moreirense,Primeira Liga,28.5,3,10,5.0,50.0,0.35,0.18,0.3,0.6,7.8,0.0,0,0,1.8,1.8,0.18,1.2,1.2
Lawrence Ofori,GHA,MF,25,Moreirense,Primeira Liga,27.3,1,15,3.0,20.0,0.55,0.11,0.07,0.33,28.6,0.0,0,0,0.4,0.4,0.02,0.6,0.6
Alan,BRA,MF,23,Moreirense,Primeira Liga,27.3,3,46,13.0,28.3,1.69,0.48,0.07,0.23,23.9,8.0,0,1,3.9,3.1,0.07,-0.9,-0.1
João Pedro Gomes Camacho,POR,"FW,MF",29,Moreirense,Primeira Liga,23.1,4,56,18.0,32.1,2.42,0.78,0.07,0.22,20.1,0.0,0,1,4.4,3.6,0.07,-0.4,0.4
Marcelo dos Santos Ferreira,BRA,DF,34,Moreirense,Primeira Liga,26.0,2,14,3.0,21.4,0.54,0.12,0.14,0.67,11.7,0.0,0,0,0.9,0.9,0.06,1.1,1.1
Fabiano,BRA,DF,23,Moreirense,Primeira Liga,23.7,1,9,3.0,33.3,0.38,0.13,0.11,0.33,24.8,0.0,0,0,0.8,0.8,0.09,0.2,0.2
Godfried Frimpong,NED,DF,24,Moreirense,Primeira Liga,22.4,1,2,2.0,100.0,0.09,0.09,0.5,0.5,11.4,0.0,0,0,0.2,0.2,0.1,0.8,0.8
Kobamelo Kodisang,RSA,FW,23,Moreirense,Primeira Liga,18.0,1,32,11.0,34.4,1.78,0.61,0.03,0.09,18.7,0.0,0,0,3.5,3.5,0.11,-2.5,-2.5
André Luis,BRA,FW,29,Moreirense,Primeira Liga,14.8,6,30,7.0,23.3,2.03,0.47,0.17,0.71,14.6,1.0,1,1,3.5,2.7,0.09,2.5,2.3
Madson,BRA,"FW,MF",23,Moreirense,Primeira Liga,14.9,5,42,11.0,26.2,2.83,0.74,0.12,0.45,17.0,0.0,0,0,3.2,3.2,0.08,1.8,1.8
Pedro Amador,POR,DF,24,Moreirense,Primeira Liga,12.6,0,5,0.0,0.0,0.4,0.0,0.0,0.0,27.7,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Carlos Ponck,CPV,DF,28,Moreirense,Primeira Liga,11.5,0,8,3.0,37.5,0.7,0.26,0.0,0.0,12.1,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
Dinis Pinto,POR,DF,22,Moreirense,Primeira Liga,10.4,0,1,0.0,0.0,0.1,0.0,0.0,0.0,15.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Luismi,EQG,FW,22,Moreirense,Primeira Liga,10.4,0,20,5.0,25.0,1.91,0.48,0.0,0.0,16.3,0.0,0,0,1.5,1.5,0.07,-1.5,-1.5
André Castro,POR,MF,35,Moreirense,Primeira Liga,6.0,1,9,3.0,33.3,1.5,0.5,0.11,0.33,22.3,0.0,0,0,0.2,0.2,0.02,0.8,0.8
Vinicius Mingotti,BRA,FW,23,Moreirense,Primeira Liga,5.4,1,4,1.0,25.0,0.74,0.18,0.25,1.0,10.8,0.0,0,0,1.3,1.3,0.33,-0.3,-0.3
Rúben Ramos,POR,MF,24,Moreirense,Primeira Liga,6.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Matheus Aiás,BRA,"FW,MF",26,Moreirense,Primeira Liga,5.3,2,15,7.0,46.7,2.83,1.32,0.13,0.29,18.5,1.0,0,0,1.9,1.9,0.13,0.1,0.1
Caio Secco,BRA,GK,32,Moreirense,Primeira Liga,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Jeremy Antonisse,CUW,FW,21,Moreirense,Primeira Liga,6.1,0,15,4.0,26.7,2.46,0.66,0.0,0.0,19.5,0.0,0,0,1.6,1.6,0.11,-1.6,-1.6
Pedro Aparício,POR,"MF,FW",27,Moreirense,Primeira Liga,3.7,1,5,2.0,40.0,1.37,0.55,0.2,0.5,10.0,0.0,0,0,0.9,0.9,0.18,0.1,0.1
Gilberto Batista,POR,DF,19,Moreirense,Primeira Liga,2.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Wallisson Luiz,BRA,"MF,FW",25,Moreirense,Primeira Liga,2.2,0,5,1.0,20.0,2.25,0.45,0.0,0.0,19.2,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Hernani Infande,POR,"FW,MF",22,Moreirense,Primeira Liga,0.9,1,2,1.0,50.0,2.14,1.07,0.5,1.0,8.0,0.0,0,0,0.5,0.5,0.25,0.5,0.5
Rodrigo Macedo,POR,"FW,MF",20,Moreirense,Primeira Liga,0.7,0,3,2.0,66.7,4.15,2.77,0.0,0.0,14.6,0.0,0,0,0.4,0.4,0.13,-0.4,-0.4
Mika,POR,GK,32,Moreirense,Primeira Liga,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Miguel Rebelo,POR,MF,19,Moreirense,Primeira Liga,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Cristo González,ESP,"FW,MF",25,Arouca,Primeira Liga,30.9,15,117,41.0,35.0,3.79,1.33,0.1,0.29,20.4,3.0,3,6,12.6,7.8,0.07,2.4,4.2
Morlaye Sylla,GUI,"MF,FW",25,Arouca,Primeira Liga,28.7,3,46,17.0,37.0,1.6,0.59,0.07,0.18,24.1,1.0,0,1,4.4,3.6,0.08,-1.4,-0.6
Jason,ESP,"FW,MF",29,Arouca,Primeira Liga,28.5,6,66,22.0,33.3,2.32,0.77,0.09,0.27,22.3,8.0,0,0,7.1,7.1,0.11,-1.1,-1.1
Ignacio De Arruabarrena,URU,GK,26,Arouca,Primeira Liga,31.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
David Simão,POR,MF,33,Arouca,Primeira Liga,28.4,0,11,1.0,9.1,0.39,0.04,0.0,0.0,30.7,3.0,0,0,0.3,0.3,0.03,-0.3,-0.3
Francisco Montero,ESP,DF,24,Arouca,Primeira Liga,28.7,1,5,1.0,20.0,0.17,0.03,0.2,1.0,6.7,0.0,0,0,0.8,0.8,0.16,0.2,0.2
Rafa Mújica,ESP,FW,24,Arouca,Primeira Liga,28.1,20,117,51.0,43.6,4.16,1.81,0.17,0.39,15.3,0.0,0,0,16.3,16.3,0.14,3.7,3.7
Tiago Esgaio,POR,DF,27,Arouca,Primeira Liga,25.3,2,12,3.0,25.0,0.47,0.12,0.17,0.67,13.1,0.0,0,0,0.6,0.6,0.05,1.4,1.4
Weverson,BRA,DF,23,Arouca,Primeira Liga,22.2,1,10,2.0,20.0,0.45,0.09,0.1,0.5,22.7,0.0,0,0,0.5,0.5,0.06,0.5,0.5
Pedro Santos,POR,MF,22,Arouca,Primeira Liga,16.1,1,8,3.0,37.5,0.5,0.19,0.13,0.33,21.9,0.0,0,0,0.6,0.6,0.07,0.4,0.4
Nino Galović,CRO,DF,31,Arouca,Primeira Liga,16.0,0,4,0.0,0.0,0.25,0.0,0.0,0.0,8.7,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4
Eboue Kouassi,CIV,MF,25,Arouca,Primeira Liga,15.0,0,10,4.0,40.0,0.67,0.27,0.0,0.0,13.8,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7
Bogdan Milovanov,UKR,DF,25,Arouca,Primeira Liga,13.4,0,4,0.0,0.0,0.3,0.0,0.0,0.0,22.6,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Robson Bambu,BRA,DF,25,Arouca,Primeira Liga,9.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Alfonso Trezza,URU,"FW,MF",24,Arouca,Primeira Liga,9.3,0,11,2.0,18.2,1.18,0.21,0.0,0.0,16.5,0.0,0,0,1.6,1.6,0.15,-1.6,-1.6
Rafael Fernandes,POR,DF,21,Arouca,Primeira Liga,8.3,0,2,1.0,50.0,0.24,0.12,0.0,0.0,6.8,0.0,0,0,0.2,0.2,0.12,-0.2,-0.2
Matí­as Rocha,URU,DF,22,Arouca,Primeira Liga,6.2,1,2,1.0,50.0,0.32,0.16,0.5,1.0,7.8,0.0,0,0,0.9,0.9,0.46,0.1,0.1
Oriol Busquets,ESP,MF,24,Arouca,Primeira Liga,4.8,0,2,1.0,50.0,0.41,0.21,0.0,0.0,27.4,0.0,0,0,0.0,0.0,0.01,0.0,0.0
Quaresma,BRA,DF,26,Arouca,Primeira Liga,3.3,0,9,0.0,0.0,2.69,0.0,0.0,0.0,24.8,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2
Mosquito,BRA,GK,27,Arouca,Primeira Liga,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Uladzislaŭ Marozaŭ,BLR,"FW,MF",22,Arouca,Primeira Liga,1.6,0,3,1.0,33.3,1.87,0.62,0.0,0.0,16.8,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Yusuf Lawal,NGA,"FW,MF",25,Arouca,Primeira Liga,2.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Jerome Opoku,GHA,DF,24,Arouca,Primeira Liga,1.5,0,1,0.0,0.0,0.67,0.0,0.0,0.0,11.0,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Vitinho,BRA,"FW,MF",23,Arouca,Primeira Liga,1.1,0,3,0.0,0.0,2.76,0.0,0.0,0.0,22.3,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
João Valido,POR,GK,23,Arouca,Primeira Liga,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Miguel Puche García,ESP,"FW,MF",22,Arouca,Primeira Liga,3.4,0,10,5.0,50.0,2.93,1.47,0.0,0.0,27.2,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3
André Bukia,COD,"MF,FW",28,Arouca,Primeira Liga,1.7,1,5,1.0,20.0,2.87,0.57,0.2,1.0,19.3,1.0,0,0,0.6,0.6,0.12,0.4,0.4
Moses Yaw,GHA,"DF,MF",24,Arouca,Primeira Liga,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Benji Michel,USA,"FW,MF",25,Arouca,Primeira Liga,0.5,0,1,0.0,0.0,2.0,0.0,0.0,0.0,10.4,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Yanis Hamache,ALG,DF,24,Arouca,Primeira Liga,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Pedro Manuel da Silva Moreira,POR,MF,34,Arouca,Primeira Liga,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Luiz Lúcio Reis Júnior,BRA,GK,22,Famalicão,Primeira Liga,33.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Moura,POR,DF,23,Famalicão,Primeira Liga,33.0,1,12,3.0,25.0,0.36,0.09,0.08,0.33,19.0,0.0,0,0,0.4,0.4,0.03,0.6,0.6
Zaydou Youssouf,FRA,MF,24,Famalicão,Primeira Liga,30.7,2,32,10.0,31.3,1.04,0.33,0.06,0.2,28.1,2.0,0,1,1.9,1.1,0.03,0.1,0.9
Jhonder Cádiz,VEN,FW,28,Famalicão,Primeira Liga,25.6,15,88,29.0,33.0,3.44,1.13,0.14,0.41,15.1,0.0,3,4,12.5,9.5,0.11,2.5,2.5
Mirko Topić,SRB,MF,22,Famalicão,Primeira Liga,26.1,0,23,1.0,4.3,0.88,0.04,0.0,0.0,22.4,2.0,0,0,1.1,1.1,0.05,-1.1,-1.1
Gustavo sá,POR,MF,18,Famalicão,Primeira Liga,20.4,3,34,8.0,23.5,1.66,0.39,0.09,0.38,19.2,0.0,0,0,2.3,2.3,0.07,0.7,0.7
Chiquinho,POR,"FW,MF",23,Famalicão,Primeira Liga,19.3,5,45,10.0,22.2,2.33,0.52,0.11,0.5,16.5,2.0,0,0,3.5,3.5,0.08,1.5,1.5
Nathan,BRA,DF,21,Famalicão,Primeira Liga,20.5,0,6,3.0,50.0,0.29,0.15,0.0,0.0,21.6,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
Riccieli,BRA,DF,24,Famalicão,Primeira Liga,19.7,1,10,3.0,30.0,0.51,0.15,0.1,0.33,9.9,0.0,0,0,0.8,0.8,0.08,0.2,0.2
Justin de Haas,NED,DF,23,Famalicão,Primeira Liga,17.8,1,24,6.0,25.0,1.35,0.34,0.04,0.17,16.1,8.0,0,0,1.4,1.4,0.06,-0.4,-0.4
Enea Mihaj,ALB,DF,25,Famalicão,Primeira Liga,17.3,0,3,1.0,33.3,0.17,0.06,0.0,0.0,8.7,0.0,0,0,0.7,0.7,0.24,-0.7,-0.7
José Luis Rodríguez,PAN,FW,25,Famalicão,Primeira Liga,16.6,1,30,11.0,36.7,1.81,0.66,0.03,0.09,23.5,1.0,0,0,1.6,1.6,0.05,-0.6,-0.6
Otavio Ataide,BRA,DF,21,Famalicão,Primeira Liga,15.4,2,13,4.0,30.8,0.85,0.26,0.15,0.5,21.4,0.0,0,0,0.9,0.9,0.07,1.1,1.1
Martin Agirregabiria,ESP,DF,27,Famalicão,Primeira Liga,13.4,0,4,1.0,25.0,0.3,0.07,0.0,0.0,27.1,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Marcos Vinicios Sorriso,BRA,"FW,MF",22,Famalicão,Primeira Liga,9.5,1,21,1.0,4.8,2.22,0.11,0.05,1.0,18.1,1.0,0,0,1.8,1.8,0.08,-0.8,-0.8
Óscar Aranda,ESP,"FW,MF",21,Famalicão,Primeira Liga,8.0,1,30,8.0,26.7,3.77,1.0,0.03,0.13,26.0,8.0,0,0,0.9,0.9,0.03,0.1,0.1
Théo Fonseca,FRA,FW,23,Famalicão,Primeira Liga,7.2,2,15,6.0,40.0,2.09,0.83,0.13,0.33,13.4,0.0,0,0,2.0,2.0,0.13,0.0,0.0
Henrique Araújo,POR,FW,21,Famalicão,Primeira Liga,7.6,0,12,2.0,16.7,1.59,0.26,0.0,0.0,10.9,0.0,0,0,1.4,1.4,0.11,-1.4,-1.4
Gustavo Assuncao,POR,MF,23,Famalicão,Primeira Liga,7.0,0,4,1.0,25.0,0.57,0.14,0.0,0.0,24.0,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Otso Liimatta,FIN,"MF,FW",19,Famalicão,Primeira Liga,5.2,0,3,0.0,0.0,0.58,0.0,0.0,0.0,15.2,0.0,0,0,0.3,0.3,0.11,-0.3,-0.3
Tom Lacoux,FRA,MF,21,Famalicão,Primeira Liga,4.0,0,7,0.0,0.0,1.73,0.0,0.0,0.0,24.6,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2
Mihai Dobre,ROU,FW,24,Famalicão,Primeira Liga,3.9,0,10,5.0,50.0,2.58,1.29,0.0,0.0,17.4,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6
Florian Danho Seke,FRA,FW,23,Famalicão,Primeira Liga,2.7,1,8,3.0,37.5,3.01,1.13,0.13,0.33,12.2,0.0,0,0,0.8,0.8,0.1,0.2,0.2
Pablo,BRA,"FW,MF",19,Famalicão,Primeira Liga,2.2,0,2,0.0,0.0,0.91,0.0,0.0,0.0,10.5,0.0,0,0,0.2,0.2,0.11,-0.2,-0.2
Afonso Rodrigues,POR,"FW,MF",20,Famalicão,Primeira Liga,2.6,1,9,2.0,22.2,3.43,0.76,0.11,0.5,14.2,0.0,0,0,0.6,0.6,0.06,0.4,0.4
Ivan Zlobin,RUS,GK,26,Famalicão,Primeira Liga,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Filipe Soares,POR,MF,24,Famalicão,Primeira Liga,1.9,0,1,0.0,0.0,0.52,0.0,0.0,0.0,7.6,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Leonardo Lelo,POR,"DF,MF",23,Casa Pia,Primeira Liga,32.7,1,20,3.0,15.0,0.61,0.09,0.05,0.33,23.8,1.0,0,0,1.0,1.0,0.05,0.0,0.0
Ricardo Batista,POR,GK,36,Casa Pia,Primeira Liga,30.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Nermin Zolotić,BIH,DF,30,Casa Pia,Primeira Liga,29.7,1,8,3.0,37.5,0.27,0.1,0.13,0.33,14.9,0.0,0,0,0.7,0.7,0.09,0.3,0.3
Larra,ESP,"DF,MF",25,Casa Pia,Primeira Liga,27.9,2,22,10.0,45.5,0.79,0.36,0.09,0.2,23.3,4.0,0,0,1.1,1.1,0.05,0.9,0.9
Neto,BRA,MF,31,Casa Pia,Primeira Liga,25.0,1,20,5.0,25.0,0.8,0.2,0.05,0.2,30.7,0.0,0,0,0.4,0.4,0.02,0.6,0.6
Fernando Varela,CPV,DF,35,Casa Pia,Primeira Liga,23.0,0,2,0.0,0.0,0.09,0.0,0.0,0.0,10.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Yuki Soma,JPN,"FW,MF",26,Casa Pia,Primeira Liga,21.0,5,26,13.0,50.0,1.24,0.62,0.19,0.38,18.1,1.0,0,0,2.9,2.9,0.11,2.1,2.1
Clayton,BRA,FW,24,Casa Pia,Primeira Liga,18.8,8,56,18.0,32.1,2.99,0.96,0.13,0.39,16.8,0.0,1,1,6.8,6.0,0.11,1.2,1.0
Pablo Roberto,BRA,"MF,FW",23,Casa Pia,Primeira Liga,18.5,3,35,11.0,31.4,1.9,0.6,0.09,0.27,23.7,0.0,0,0,1.8,1.8,0.05,1.2,1.2
Felippe Cardoso,BRA,FW,24,Casa Pia,Primeira Liga,17.4,6,46,15.0,32.6,2.65,0.86,0.13,0.4,14.9,0.0,0,1,5.7,4.9,0.11,0.3,1.1
João Nunes,POR,DF,27,Casa Pia,Primeira Liga,14.7,1,7,2.0,28.6,0.48,0.14,0.14,0.5,11.4,0.0,0,0,0.3,0.3,0.04,0.7,0.7
Beni,ANG,MF,21,Casa Pia,Primeira Liga,16.3,0,3,1.0,33.3,0.18,0.06,0.0,0.0,28.7,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Duplexe Tchamba,CMR,DF,25,Casa Pia,Primeira Liga,13.9,1,13,3.0,23.1,0.94,0.22,0.08,0.33,9.7,0.0,0,0,1.8,1.8,0.14,-0.8,-0.8
Nuno Gonçalo Moreira,POR,"FW,MF",24,Casa Pia,Primeira Liga,11.3,2,19,10.0,52.6,1.68,0.88,0.11,0.2,20.3,0.0,0,0,1.8,1.8,0.1,0.2,0.2
Vasco Fernandes,POR,DF,36,Casa Pia,Primeira Liga,10.0,0,2,0.0,0.0,0.2,0.0,0.0,0.0,9.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Tiago Dias,POR,"MF,FW",25,Casa Pia,Primeira Liga,8.8,1,10,4.0,40.0,1.13,0.45,0.1,0.25,24.4,0.0,0,0,0.3,0.3,0.03,0.7,0.7
Telasco Segovia,VEN,MF,20,Casa Pia,Primeira Liga,8.3,0,10,1.0,10.0,1.21,0.12,0.0,0.0,19.8,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5
André Geraldes,POR,"MF,DF",32,Casa Pia,Primeira Liga,6.7,0,3,0.0,0.0,0.45,0.0,0.0,0.0,24.9,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Samuel Justo,POR,MF,19,Casa Pia,Primeira Liga,6.7,1,5,2.0,40.0,0.75,0.3,0.2,0.5,23.9,0.0,0,0,0.6,0.6,0.11,0.4,0.4
Rúben Lameiras,POR,"FW,MF",28,Casa Pia,Primeira Liga,6.1,0,9,0.0,0.0,1.46,0.0,0.0,0.0,22.2,1.0,0,0,0.4,0.4,0.05,-0.4,-0.4
Rafael Brito,POR,MF,21,Casa Pia,Primeira Liga,3.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Fernando,BRA,"FW,MF",30,Casa Pia,Primeira Liga,6.0,2,12,5.0,41.7,2.01,0.84,0.08,0.2,18.1,0.0,1,1,1.4,0.6,0.05,0.6,0.4
Saviour Godwin,NGA,"FW,MF",26,Casa Pia,Primeira Liga,3.8,1,11,4.0,36.4,2.88,1.05,0.0,0.0,19.9,0.0,1,1,1.4,0.6,0.05,-0.4,-0.6
Jajá,BRA,"FW,MF",22,Casa Pia,Primeira Liga,4.8,0,7,3.0,42.9,1.47,0.63,0.0,0.0,17.6,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
Lucas Paes,BRA,GK,25,Casa Pia,Primeira Liga,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
André Lacximicant,POR,"FW,MF",22,Casa Pia,Primeira Liga,2.4,1,6,2.0,33.3,2.48,0.83,0.17,0.5,19.0,0.0,0,0,0.2,0.2,0.04,0.8,0.8
