player,nationality,position,age,club,league,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Zinho,BRA,"FW,MF",19,Grêmio,Brazilian League,2.7,0,5,1.0,20.0,1.84,0.37,0.0,0.0,21.9,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Josué,BRA,MF,17,Grêmio,Brazilian League,1.3,0,1,0.0,0.0,0.77,0.0,0.0,0.0,31.4,0.0,0,0,0.0,0.0,0.01,0.0,0.0
Brenno,BRA,GK,23,Grêmio,Brazilian League,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Wesley,BRA,DF,19,Grêmio,Brazilian League,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Juan Iturbe,PAR,"FW,MF",29,Grêmio,Brazilian League,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Luan Vieira,BRA,"FW,MF",29,Grêmio,Brazilian League,0.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Darlan Mendes,BRA,MF,24,Grêmio,Brazilian League,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Gustavinho,BRA,"FW,MF",21,Grêmio,Brazilian League,0.4,0,1,0.0,0.0,2.73,0.0,0.0,0.0,3.3,0.0,0,0,0.4,0.4,0.38,-0.4,-0.4
Freddy Noguera,PAR,FW,19,Grêmio,Brazilian League,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Nata,BRA,"FW,DF",21,Grêmio,Brazilian League,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Lian,BRA,MF,17,Grêmio,Brazilian League,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
João Araújo,BRA,MF,17,Grêmio,Brazilian League,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
