player,nationality,position,age,club,league,minutes_90s,Y,R,YR,fouls,fouled,offsides,crosses,interceptions,tklw,pens_won,pens_conceded,OG,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Lorenzo Pinzauti,ITA,FW,28,Calcio Lecco 1912,Serie B,0.8,0,0,0,2,2,0,0,0,2,0,0,0,2,2,5,28.6
Lorenzo Rajot,FRA,MF,25,Rodez Aveyron,Ligue 2,28.8,1,0,0,22,26,5,119,13,20,1,0,0,169,33,41,44.6
Loris Bacchetti,ITA,DF,30,FeralpiSalò,Serie B,7.8,1,0,0,11,7,1,3,8,6,0,0,1,30,16,10,61.5
Louey Ben Farhat,GER,MF,17,Karlsruher,2. Bundesliga,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0
Louis Mafouta,CTA,"FW,MF",29,Amiens,Ligue 2,33.0,6,0,0,25,44,40,13,12,6,2,0,0,82,45,58,43.7
Louis Mouton,FRA,MF,21,Pau FC,Ligue 2,18.7,5,0,0,36,13,1,37,17,44,0,0,0,141,14,18,43.8
Louis Schaub,AUT,"MF,FW",28,Hannover 96,2. Bundesliga,19.0,0,1,0,8,16,6,22,10,15,1,0,0,89,16,16,50.0
Loup Gueho,FRA,"DF,MF",19,Bastia,Ligue 2,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Loïc Bessile,TOG,DF,24,Dunkerque,Ligue 2,2.5,1,0,0,1,2,0,0,7,4,0,0,0,14,5,0,100.0
Loïc N'Gatta,FRA,DF,19,Auxerre,Ligue 2,1.2,0,0,0,0,3,0,12,0,7,0,0,0,12,0,1,0.0
Loïc Nestor,FRA,DF,34,Grenoble,Ligue 2,15.3,1,0,0,13,3,1,1,22,4,0,1,0,77,23,11,67.6
Loïc Williams,ESP,DF,22,Tenerife,Segunda Division,15.3,6,0,0,27,9,0,1,13,18,0,0,0,44,27,38,41.5
Loïs Martins,FRA,"MF,DF",19,Stade Laval,Ligue 2,0.2,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0.0
Luc Castaignos,NED,FW,30,Magdeburg,2. Bundesliga,9.2,4,0,0,14,7,10,0,0,0,0,0,0,11,12,28,30.0
Luc Ihorst,GER,FW,23,Braunschweig,2. Bundesliga,1.8,0,0,0,2,1,1,1,0,0,0,0,0,7,5,7,41.7
Luca Böggemann,GER,GK,19,Osnabrück,2. Bundesliga,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Luca Ceppitelli,ITA,DF,33,FeralpiSalò,Serie B,28.9,11,0,0,31,21,0,0,40,33,0,1,0,145,91,50,64.5
Luca Cigarini,ITA,MF,37,Reggiana,Serie B,11.6,9,1,0,19,16,0,50,12,12,0,0,0,82,5,18,21.7
Luca D'Andrea,ITA,"MF,FW",18,Catanzaro,Serie B,8.1,3,0,0,12,40,0,20,3,8,1,0,0,36,1,8,11.1
Luca Dürholtz,GER,"MF,FW",29,Elversberg,2. Bundesliga,5.2,3,0,0,10,2,0,3,3,5,0,0,0,28,4,3,57.1
Luca Fiordilino,ITA,MF,27,FeralpiSalò,Serie B,29.3,8,1,0,35,43,0,19,32,40,0,1,0,183,28,41,40.6
Luca Ghiringhelli,ITA,DF,31,Südtirol,Serie B,2.7,2,0,0,2,1,0,5,7,3,0,0,0,15,5,2,71.4
Luca Giudici,ITA,"MF,FW",31,FeralpiSalò,Serie B,1.6,0,0,0,4,3,0,6,1,3,0,0,0,4,2,1,66.7
Luca Giudici,ITA,"DF,FW",31,Calcio Lecco 1912,Serie B,4.6,0,0,0,4,8,1,22,7,5,0,0,0,17,9,6,60.0
Luca Lezzerini,ITA,GK,28,Brescia,Serie B,25.0,1,0,0,1,4,0,0,1,1,0,1,0,25,6,0,100.0
Luca Magnino,ITA,MF,25,Modena,Serie B,29.4,4,0,0,51,44,2,19,35,30,0,0,0,170,34,33,50.7
Luca Maniero,ITA,GK,28,Cittadella,Serie B,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
Luca Marrone,ITA,DF,33,Cremonese,Serie B,2.0,0,0,0,2,1,0,0,1,0,0,0,0,7,4,1,80.0
Luca Marrone,ITA,DF,33,Calcio Lecco 1912,Serie B,6.2,4,0,0,11,3,0,0,4,5,0,0,0,34,10,9,52.6
Luca Moro,ITA,"FW,MF",22,Spezia,Serie B,11.2,3,0,0,24,24,6,2,1,3,1,0,0,23,35,39,47.3
Luca Pandolfi,ITA,FW,25,Cittadella,Serie B,18.2,3,0,0,30,22,6,6,5,6,0,0,0,39,47,78,37.6
Luca Petrasso,CAN,"DF,FW",22,Orlando City,MLS,4.8,0,0,0,4,1,0,8,3,5,0,0,0,18,3,7,30.0
Luca Ravanelli,ITA,DF,26,Cremonese,Serie B,24.2,5,1,1,24,26,0,1,24,30,0,0,1,128,86,68,55.8
Luca Schnellbacher,GER,FW,29,Elversberg,2. Bundesliga,24.3,1,0,0,24,22,26,7,4,6,2,0,0,49,70,82,46.1
Luca Strizzolo,ITA,"FW,MF",31,Modena,Serie B,10.8,5,0,0,21,19,6,1,1,4,1,0,0,23,48,55,46.6
Luca Tremolada,ITA,"MF,FW",31,Modena,Serie B,17.4,2,0,0,9,9,0,139,4,7,0,0,0,55,0,2,0.0
Luca Valzania,ITA,MF,27,Ascoli,Serie B,9.2,2,1,0,12,10,0,10,10,10,0,0,0,39,20,15,57.1
Luca Verna,ITA,MF,30,Catanzaro,Serie B,20.1,2,0,0,7,7,1,4,15,7,0,0,0,88,9,16,36.0
Luca Vido,ITA,"FW,MF",26,Reggiana,Serie B,0.4,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,100.0
Luca Vignali,ITA,"DF,MF",27,Spezia,Serie B,8.4,4,0,0,20,7,1,20,6,9,0,1,0,29,10,22,31.3
Luca Vignali,ITA,"DF,MF",27,Como,Serie B,3.0,0,0,0,8,4,0,5,3,3,0,0,0,19,0,4,0.0
Luca Zanimacchia,ITA,DF,25,Cremonese,Serie B,26.1,3,0,0,22,44,11,158,17,24,0,0,0,150,15,14,51.7
Luca Zidane,FRA,GK,26,Eibar,Segunda Division,42.0,3,0,0,1,5,0,0,0,2,0,1,0,89,9,1,90.0
Lucas Ahijado,ESP,DF,29,Oviedo,Segunda Division,7.7,1,0,0,9,2,1,35,7,16,0,0,0,56,6,5,54.5
Lucas Anacker,BRA,GK,27,Alcorcón,Segunda Division,13.0,0,0,0,0,1,0,0,1,0,0,0,0,9,6,0,100.0
Lucas Andersen,DEN,MF,28,QPR,EFL,10.1,2,0,0,12,8,1,74,11,9,0,0,0,38,2,8,20.0
Lucas Bartlett,USA,DF,25,St. Louis,MLS,11.9,4,0,0,25,6,0,1,25,11,0,0,0,81,31,23,57.4
Lucas Boyé,ARG,FW,28,Elche,Segunda Division,2.4,1,0,0,5,5,1,1,0,0,0,0,0,3,7,9,43.8
Lucas Buadés,FRA,"DF,MF",25,Rodez Aveyron,Ligue 2,18.1,1,0,0,18,31,1,89,18,22,1,0,0,92,30,28,51.7
Lucas Calegari,BRA,DF,20,LA Galaxy,MLS,21.5,2,0,0,15,35,1,31,23,29,0,0,1,128,6,13,31.6
Lucas Cavallini,CAN,"FW,MF",30,Tijuana,Liga MX,4.2,0,1,0,12,11,3,4,0,3,0,0,1,16,12,24,33.3
Lucas Cavallini,CAN,FW,30,Puebla,Liga MX,9.5,3,0,0,21,21,6,3,2,4,0,1,0,10,38,38,50.0
Lucas Da Cunha,FRA,"MF,FW",22,Como,Serie B,28.9,7,0,0,21,25,0,102,10,30,0,0,0,161,13,25,34.2
Lucas Di Yorio,ARG,FW,26,Pachuca,Liga MX,11.3,1,0,0,20,22,5,12,3,9,0,0,0,17,49,42,53.8
Lucas Maronnier,FRA,DF,23,Guingamp,Ligue 2,12.4,2,0,0,12,16,1,28,17,19,0,0,0,70,11,12,47.8
Lucas Merolla,ARG,DF,28,Mazatlán,Liga MX,3.1,3,0,0,6,6,0,0,5,2,0,0,0,16,14,6,70.0
Lucas Oliveira,BRA,MF,28,Valladolid,Segunda Division,8.4,2,0,0,12,7,1,2,11,11,0,0,0,32,17,16,51.5
Lucas Oliveira Rosa,BRA,"DF,MF",24,Valladolid,Segunda Division,18.3,6,0,0,26,22,3,54,23,37,0,0,0,117,17,7,70.8
Lucas Ricoy,ESP,"DF,MF",21,Burgos,Segunda Division,0.3,0,0,0,0,1,1,0,0,0,0,0,0,2,3,3,50.0
Lucas Rodríguez,ARG,MF,26,Tijuana,Liga MX,23.4,3,0,0,21,44,1,45,16,23,0,0,0,130,8,18,30.8
Lucas Romero,ARG,MF,29,León,Liga MX,10.8,4,1,0,17,11,0,7,7,18,0,0,0,61,11,6,64.7
Lucas Terrer,ESP,MF,19,Zaragoza,Segunda Division,1.7,0,0,0,3,0,0,1,1,2,0,0,0,8,0,5,0.0
Lucas Woudenberg,NED,DF,29,Valenciennes,Ligue 2,28.4,2,0,0,31,10,2,35,36,21,0,0,0,117,34,22,60.7
Lucas Zelarayán,ARM,"MF,FW",30,Crew,MLS,18.9,4,0,0,22,34,5,125,7,9,1,0,0,69,4,9,30.8
Lucas de los Santos,URU,"MF,FW",22,Puebla,Liga MX,1.9,2,0,0,5,2,0,2,0,2,0,0,0,15,5,3,62.5
Luciano Acosta,ARG,MF,28,FC Cincinnati,MLS,28.9,7,0,0,48,61,5,121,18,19,1,0,0,136,3,13,18.8
Luderic Etondé,FRA,"FW,MF",22,Dunkerque,Ligue 2,1.4,0,0,0,4,1,2,1,0,0,0,0,0,6,4,4,50.0
Ludovit Reis,NED,"MF,DF",23,Hamburger SV,2. Bundesliga,19.9,4,0,0,31,11,6,30,27,37,0,0,0,120,27,20,57.4
Luey Giles,WAL,DF,16,Cardiff City,EFL,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,100.0
Luigi Canotto,ITA,"FW,DF",29,Cosenza,Serie B,7.7,4,0,0,5,8,2,36,1,4,0,0,0,34,3,4,42.9
Luis Abram,PER,DF,26,Atlanta Utd,MLS,16.2,1,0,0,6,5,1,1,16,9,0,1,0,71,19,14,57.6
Luis Alfonso Rodríguez,MEX,DF,32,Pachuca,Liga MX,4.4,2,0,0,9,3,0,9,5,10,0,0,0,39,3,5,37.5
Luis Alfonso Rodríguez,MEX,DF,32,FC Juárez,Liga MX,15.6,5,0,0,16,16,0,34,23,18,0,1,0,104,13,6,68.4
Luis Amarilla,PAR,FW,27,Mazatlán,Liga MX,23.6,2,2,0,25,22,10,5,5,13,1,1,0,78,62,83,42.8
Luis Amarilla,PAR,FW,27,Minnesota Utd,MLS,8.2,2,0,0,5,16,9,1,0,3,1,0,0,33,23,26,46.9
Luis Barraza,USA,GK,26,NYCFC,MLS,24.0,3,0,0,1,0,0,0,1,0,0,0,0,31,4,1,80.0
Luis Binks,ENG,DF,21,Coventry City,EFL,14.8,4,0,0,20,9,0,7,19,15,0,0,0,78,51,35,59.3
Luis Cárdenas,MEX,GK,29,Monterrey,Liga MX,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0
Luis Díaz,CRC,"DF,MF",24,Crew,MLS,0.9,0,0,0,4,1,0,4,0,1,0,0,0,5,0,1,0.0
Luis Díaz,CRC,FW,24,Rapids,MLS,1.0,1,0,0,3,2,0,9,0,1,0,0,0,5,1,1,50.0
Luis Enrique Quiñones,COL,"FW,MF",32,UANL,Liga MX,18.8,0,0,0,29,25,12,108,12,23,0,0,0,69,16,34,32.0
Luis Espinoza,MEX,"MF,DF",19,Santos,Liga MX,1.2,1,0,0,3,4,0,1,2,0,0,0,0,3,0,0,0.0
Luis Fernando Fuentes,MEX,DF,36,América,Liga MX,14.5,1,0,0,15,15,1,21,10,15,0,0,0,63,17,18,48.6
Luis García,MEX,"MF,DF",30,Puebla,Liga MX,9.7,1,0,0,12,8,1,61,6,5,0,0,0,43,5,7,41.7
Luis Gómez,MEX,MF,16,Santos,Liga MX,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Luis Iturbide,MEX,DF,21,Cruz Azul,Liga MX,0.5,1,0,0,2,0,0,0,3,0,0,0,0,1,2,1,66.7
Luis López,ESP,GK,23,CD Mirandés,Segunda Division,7.0,1,0,0,0,1,0,0,0,0,0,0,0,15,2,1,66.7
Luis Muñoz,ESP,"MF,FW",27,Cartagena,Segunda Division,26.0,6,0,0,25,54,16,28,18,20,0,1,0,115,17,16,51.5
Luis Olivas,MEX,DF,23,Mazatlán,Liga MX,15.2,1,0,0,16,11,1,4,19,13,1,1,1,77,25,13,65.8
Luis Perea,ESP,MF,26,Leganés,Segunda Division,9.1,6,0,0,9,13,2,2,3,11,0,0,0,55,30,21,58.8
Luis Pérez,ESP,DF,29,Valladolid,Segunda Division,39.7,3,0,0,21,32,1,197,41,37,0,0,0,169,35,35,50.0
Luis Quintero,COL,"FW,MF",19,Amorebieta,Segunda Division,4.1,1,0,0,3,10,1,13,5,4,0,0,0,20,3,6,33.3
Luis Ricardo Reyes,MEX,DF,32,Atlas,Liga MX,21.5,0,0,0,14,23,0,150,26,32,0,2,0,91,20,24,45.5
Luis Romo,MEX,MF,28,Monterrey,Liga MX,21.8,1,0,0,18,15,3,20,16,21,0,0,0,156,46,26,63.9
Luis Semedo,POR,"FW,MF",19,Sunderland,EFL,5.6,1,0,0,10,2,5,1,0,8,0,0,0,16,4,14,22.2
Luis Sinisterra,COL,MF,24,Leeds United,EFL,1.9,0,0,0,3,1,0,1,0,1,0,0,0,10,3,2,60.0
Luis Sánchez,MEX,DF,23,Pachuca,Liga MX,0.7,0,0,0,0,0,0,1,2,1,0,0,0,4,2,1,66.7
Luis Sánchez,MEX,DF,23,Mazatlán,Liga MX,4.7,0,0,0,4,4,0,0,5,2,0,0,0,12,10,10,50.0
Luis Vega,MEX,MF,19,Santos,Liga MX,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Luis Ángel Malagón,MEX,GK,26,América,Liga MX,28.5,3,0,0,0,7,0,0,0,0,0,0,0,39,7,0,100.0
Luismi,ESP,"MF,FW",23,Tenerife,Segunda Division,22.2,7,1,0,27,29,3,40,7,14,3,0,0,104,5,18,21.7
Luismi,ESP,MF,32,Oviedo,Segunda Division,17.5,8,1,1,26,20,0,3,20,19,0,1,0,123,19,20,48.7
Luiz Araújo,BRA,FW,26,Atlanta Utd,MLS,14.1,3,1,1,13,35,2,26,8,12,0,0,0,59,5,4,55.6
Luka Bogdan,CRO,DF,27,Ternana,Serie B,1.0,1,0,0,1,0,0,0,4,2,0,0,0,8,5,4,55.6
Luka Gavran,CAN,GK,22,Toronto FC,MLS,4.0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0.0
Luka Ilić,SRB,"MF,FW",24,Troyes,Ligue 2,15.6,1,1,0,14,12,2,49,5,11,0,1,0,66,15,20,42.9
Luka Krajnc,SVN,DF,28,Catanzaro,Serie B,11.8,2,0,0,13,5,1,2,11,6,0,0,0,38,20,18,52.6
Luka Lochoshvili,GEO,DF,25,Cremonese,Serie B,18.8,6,1,0,29,11,3,11,31,22,0,0,0,93,49,33,59.8
Lukas Engel,DEN,DF,24,Middlesbrough,EFL,27.5,4,0,0,15,14,2,68,51,41,0,0,0,149,41,30,57.7
Lukas Hinterseer,AUT,"MF,DF",32,Hansa Rostock,2. Bundesliga,0.3,1,0,0,1,1,0,0,0,0,0,0,0,2,5,6,45.5
Lukas Jutkiewicz,ENG,"FW,MF",34,Birmingham City,EFL,6.3,1,0,0,11,11,5,3,1,2,0,0,0,19,74,42,63.8
Lukas Kunze,GER,MF,25,Osnabrück,2. Bundesliga,12.9,2,0,0,21,9,3,13,13,24,0,0,0,57,18,11,62.1
Lukas MacNaughton,CAN,DF,27,Toronto FC,MLS,2.0,0,0,0,1,1,0,0,2,1,0,0,1,11,2,0,100.0
Lukas MacNaughton,CAN,DF,27,Nashville,MLS,11.9,0,0,0,8,13,1,2,30,8,1,0,0,56,18,25,41.9
Lukas Mondele,BEL,MF,19,Modena,Serie B,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Lukas Mühl,GER,DF,26,Spezia,Serie B,11.6,4,0,0,15,1,0,0,19,17,0,1,0,67,30,15,66.7
Lukas Petkov,BUL,"FW,MF",22,Greuther Fürth,2. Bundesliga,11.1,3,0,0,19,19,2,24,4,13,0,0,0,48,10,17,37.0
Lukas Pinckert,GER,DF,23,Elversberg,2. Bundesliga,9.5,3,0,0,11,8,2,10,8,17,0,0,0,51,4,15,21.1
Lukas Schleimer,GER,"MF,FW",23,Nürnberg,2. Bundesliga,21.5,1,0,0,10,53,10,27,2,14,0,0,0,100,22,54,28.9
Luke Ayling,ENG,DF,31,Middlesbrough,EFL,18.2,7,0,0,16,18,2,57,16,21,0,0,0,83,31,30,50.8
Luke Ayling,ENG,DF,31,Leeds United,EFL,8.3,2,0,0,8,6,4,16,10,21,0,0,0,50,17,10,63.0
Luke Brennan,USA,MF,17,Atlanta Utd,MLS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Luke Cundle,ENG,"MF,FW",21,Plymouth Argyle,EFL,13.7,3,0,0,12,9,1,3,8,21,0,0,0,58,4,16,20.0
Luke Cundle,ENG,MF,21,Stoke City,EFL,10.9,2,0,0,13,9,0,1,9,9,0,0,0,54,4,8,33.3
Luke Haakenson,USA,"MF,FW",25,Nashville,MLS,3.0,2,0,0,6,7,1,2,2,2,0,0,0,13,5,2,71.4
Luke McNally,IRL,DF,23,Stoke City,EFL,35.5,7,0,0,32,11,1,2,47,48,0,1,0,115,124,58,68.1
Luke O'Nien,ENG,DF,28,Sunderland,EFL,43.0,12,0,0,39,50,3,15,63,39,0,1,0,261,80,52,60.6
Luke Thomas,ENG,DF,22,Middlesbrough,EFL,7.3,0,0,0,10,12,0,17,7,16,0,0,0,42,9,7,56.3
Luke Woolfenden,ENG,DF,24,Ipswich Town,EFL,40.1,5,0,0,13,9,2,4,46,26,0,0,0,204,71,39,64.5
Luquinhas,BRA,"MF,FW",26,NY Red Bulls,MLS,22.2,0,0,0,14,73,0,5,14,15,1,0,0,133,6,18,25.0
Luís Caicedo,COL,MF,26,Dynamo FC,MLS,13.5,6,0,0,31,30,0,0,17,13,0,0,0,78,9,11,45.0
Luís Cervantes,MEX,DF,22,León,Liga MX,6.5,1,1,0,10,4,0,13,8,24,0,0,0,23,3,14,17.6
Luís Martins,POR,DF,30,Vancouver W'caps,MLS,18.0,2,0,0,13,11,1,78,25,23,0,0,0,88,27,12,69.2
Lynden Gooch,USA,"MF,FW",27,Sunderland,EFL,0.1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.0
Lynden Gooch,USA,"DF,FW",27,Stoke City,EFL,19.0,3,0,0,21,20,2,87,21,29,0,0,0,111,5,16,23.8
Lyndon Dykes,SCO,"FW,MF",27,QPR,EFL,30.4,8,0,0,52,29,5,20,13,29,0,0,0,91,176,203,46.4
László Bénes,SVK,"MF,FW",25,Hamburger SV,2. Bundesliga,25.4,4,1,0,24,35,1,156,11,9,1,0,0,82,13,18,41.9
Léo Bonatini,BRA,FW,29,Atlético,Liga MX,19.5,0,0,0,5,20,5,2,5,1,1,0,0,44,9,18,33.3
Léo Chú,BRA,FW,22,Seattle,MLS,22.8,7,1,1,37,24,7,90,11,20,0,0,0,90,7,14,33.3
Léo Pétrot,FRA,DF,26,Saint-Étienne,Ligue 2,29.5,3,0,0,27,22,1,39,35,45,0,1,0,145,64,45,58.7
Maarten Paes,NED,GK,24,FC Dallas,MLS,29.1,1,1,0,2,3,0,0,0,1,0,1,0,32,4,1,80.0
Macaulay Gillesphey,ENG,DF,27,Plymouth Argyle,EFL,2.4,0,0,0,4,0,0,1,2,3,0,0,0,7,7,5,58.3
Machop Malual,SSD,"FW,MF",24,Atlanta Utd,MLS,5.2,2,0,0,7,8,3,4,3,4,0,1,0,10,9,18,33.3
Mads Frøkjær-Jensen,DEN,"MF,FW",24,Preston,EFL,28.5,4,0,0,53,19,1,52,31,25,0,0,0,131,32,39,45.1
Mads Hermansen,DEN,GK,23,Leicester City,EFL,44.0,2,0,0,0,3,0,0,0,1,0,0,0,67,7,3,70.0
Magnus Kofod Andersen,DEN,MF,24,Venezia,Serie B,8.1,1,0,0,6,7,0,33,8,9,0,0,0,52,5,7,41.7
Mahame Siby,MLI,MF,27,Bastia,Ligue 2,4.2,0,0,0,4,0,0,4,3,6,0,0,0,23,17,8,68.0
Mahlon Romeo,ATG,DF,27,Cardiff City,EFL,8.5,2,1,1,6,8,0,9,11,10,0,0,0,33,5,6,45.5
Mahmoud Bentayg,MAR,"DF,FW",23,Saint-Étienne,Ligue 2,6.3,2,0,0,12,19,0,17,5,13,1,0,0,30,8,16,33.3
Maikel Chang,CUB,"MF,FW",31,RSL,MLS,11.3,1,0,0,7,10,1,95,5,8,0,0,0,54,5,15,25.0
Maikel Mesa,ESP,"MF,FW",33,Zaragoza,Segunda Division,33.3,8,0,0,41,55,9,10,13,13,1,0,0,120,28,32,46.7
Makabi Lilepo,COD,"FW,MF",26,Valenciennes,Ligue 2,18.1,0,0,0,14,38,15,46,7,9,0,1,0,36,33,63,34.4
Malcolm Edjouma,FRA,MF,26,Bari,Serie B,11.5,2,0,0,29,12,1,7,25,25,1,0,0,72,32,39,45.1
Malcom Bokélé,CMR,DF,23,Bordeaux,Ligue 2,21.0,4,0,0,13,42,1,42,31,12,0,0,0,86,42,21,66.7
Malik Pinto,USA,MF,20,FC Cincinnati,MLS,4.4,3,0,0,11,6,0,0,1,4,0,0,0,21,5,7,41.7
Malik Tchokounté,FRA,FW,34,Stade Laval,Ligue 2,30.3,6,0,0,71,76,9,5,6,7,0,0,0,67,173,144,54.6
Mallik Wilks,ENG,"FW,MF",24,Sheffield Weds,EFL,3.1,2,0,0,10,5,3,16,2,3,0,0,0,18,9,13,40.9
Malte Amundsen,DEN,DF,24,Crew,MLS,21.0,7,0,0,27,5,0,14,45,25,0,0,0,147,16,23,41.0
Mamadou Camara,MLI,"MF,FW",22,Quevilly-Rouen,Ligue 2,24.4,4,0,0,42,28,5,140,16,15,1,0,0,153,39,53,42.4
Mamadou Cellou,GUI,MF,22,Cartagena,Segunda Division,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0
Mamadou Coulibaly,SEN,MF,24,Palermo,Serie B,8.3,5,0,0,11,13,0,3,12,15,0,0,0,59,32,26,55.2
Mamadou Diarra,SEN,DF,25,Grenoble,Ligue 2,33.0,5,0,0,38,25,0,3,49,29,0,3,0,195,53,59,47.3
Mamadou Fall,SEN,DF,20,LAFC,MLS,1.0,0,0,0,1,1,0,0,2,0,0,0,0,10,2,1,66.7
Mamadou Fofana,FRA,MF,22,Amiens,Ligue 2,3.6,2,0,0,12,8,0,2,13,4,0,0,0,31,4,1,80.0
Mamadou Fofana,MLI,DF,25,Amiens,Ligue 2,32.8,5,0,0,19,3,0,1,38,29,0,1,0,253,29,30,49.2
Mamadou Samassa,MLI,GK,33,Stade Laval,Ligue 2,36.0,4,0,0,3,14,0,0,3,1,0,3,0,45,10,0,100.0
Mamadou Sylla,FRA,DF,28,US Concarneau,Ligue 2,2.0,0,0,0,3,1,0,1,3,3,0,0,0,15,4,3,57.1
Mamadou Sylla,SEN,FW,30,Valladolid,Segunda Division,24.8,6,0,0,28,45,16,12,2,6,0,0,0,40,61,64,48.8
Mamadu Silla,FRA,FW,16,Ajaccio,Ligue 2,0.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0
Mamady Bangré,BFA,"FW,MF",22,Troyes,Ligue 2,5.7,0,0,0,10,2,2,5,2,5,0,0,0,14,2,5,28.6
Manga Foe Ondoa,FRA,MF,17,Valenciennes,Ligue 2,12.1,2,0,0,20,20,0,13,8,11,1,0,0,58,21,24,46.7
Manolis Saliakas,GRE,"MF,DF",26,St. Pauli,2. Bundesliga,29.5,7,1,1,24,29,0,98,20,28,0,1,0,136,21,15,58.3
Manolo Portanova,ITA,"MF,DF",23,Reggiana,Serie B,27.3,8,0,0,44,43,11,65,16,39,1,0,0,124,31,56,35.6
Mantilla,ESP,DF,24,Racing Sant,Segunda Division,23.0,5,0,0,29,16,3,16,19,17,0,0,1,105,44,34,56.4
Manu Hernando,ESP,DF,25,Amorebieta,Segunda Division,21.3,5,0,0,21,13,1,5,31,20,0,0,0,104,62,25,71.3
Manu Hernando,ESP,DF,25,Racing Sant,Segunda Division,18.0,4,0,0,20,4,1,0,26,17,0,0,0,45,52,31,62.7
Manu Justo,ESP,"FW,MF",28,Racing Ferrol,Segunda Division,4.0,1,0,0,9,11,1,6,2,3,0,0,0,23,7,16,30.4
Manu Vallejo,ESP,"FW,MF",27,Zaragoza,Segunda Division,10.3,1,0,0,9,16,2,31,7,13,0,0,0,46,10,21,32.3
Manuel Castro,URU,"MF,FW",27,FC Juárez,Liga MX,7.1,2,0,0,13,11,1,59,5,5,0,0,0,29,7,15,31.8
Manuel De Luca,ITA,FW,25,Sampdoria,Serie B,21.8,2,0,0,33,40,14,8,0,11,0,0,0,44,46,90,33.8
Manuel Feil,GER,"FW,MF",28,Elversberg,2. Bundesliga,23.9,4,0,0,17,24,5,15,11,28,0,0,0,87,20,25,44.4
Manuel Fuster,ESP,"MF,FW",26,Albacete,Segunda Division,38.5,3,0,0,28,93,9,194,15,22,1,0,0,208,22,24,47.8
Manuel Marras,ITA,"FW,DF",30,Cosenza,Serie B,24.2,7,1,0,31,49,3,94,24,41,0,1,0,131,8,21,27.6
Manuel Perez,FRA,MF,32,Grenoble,Ligue 2,1.6,0,0,0,0,0,0,2,2,2,0,0,0,11,1,1,50.0
Manuel Pozo,ESP,FW,22,Valladolid,Segunda Division,0.7,0,0,0,0,2,0,1,0,0,0,0,0,4,0,1,0.0
Manuel Rico,ESP,MF,21,Huesca,Segunda Division,1.2,1,0,0,2,2,0,0,0,5,0,0,0,9,4,3,57.1
Marc Aguado,ESP,MF,24,Zaragoza,Segunda Division,26.8,7,0,0,21,32,0,5,44,48,0,0,0,156,28,18,60.9
Marc Albrighton,ENG,FW,33,Leicester City,EFL,1.4,0,0,0,0,2,0,27,2,4,0,0,0,10,1,0,100.0
Marc Martínez,ESP,GK,34,Cartagena,Segunda Division,21.0,3,0,0,2,4,0,0,0,0,0,1,0,14,4,0,100.0
Marc Mateu,ESP,"DF,MF",34,Eldense,Segunda Division,36.5,3,0,0,10,41,2,281,31,34,0,0,0,209,26,24,52.0
Marc Roberts,ENG,DF,33,Birmingham City,EFL,9.2,0,0,0,8,1,0,4,9,4,0,0,0,38,38,18,67.9
Marc-Oliver Kempf,GER,DF,28,Hertha BSC,2. Bundesliga,20.4,3,1,0,20,15,0,3,30,13,0,2,0,123,107,54,66.5
Marc-Olivier Doué,FRA,"FW,MF",23,Eldense,Segunda Division,1.4,2,1,1,6,1,0,4,1,1,0,0,0,6,6,9,40.0
Marcel Beifus,GER,DF,20,Karlsruher,2. Bundesliga,13.5,1,0,0,7,3,0,2,7,16,0,1,0,44,40,19,67.8
Marcel Büchel,LIE,MF,32,Ascoli,Serie B,0.4,0,1,0,2,0,0,0,0,0,0,0,0,3,1,0,100.0
Marcel Correia,POR,DF,34,Elversberg,2. Bundesliga,1.6,0,0,0,3,0,1,0,2,3,0,1,0,9,4,3,57.1
Marcel Engelhardt,GER,GK,30,Holstein Kiel,2. Bundesliga,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Marcel Franke,GER,DF,30,Karlsruher,2. Bundesliga,30.0,6,0,0,26,7,0,1,22,11,0,1,0,132,101,41,71.1
Marcel Halstenberg,GER,DF,31,Hannover 96,2. Bundesliga,31.5,4,1,0,21,22,2,20,29,21,0,1,1,183,69,33,67.6
