player,nationality,position,age,club,league,minutes_90s,GA,PK_scored,FK_scored,CK_scored,OG,psxg,psxg_per_sot,psxg_net,psxg_net90,launched_c,launched,launched_pct,passes,throws,launch_pct,avg_len,gk,gk_launched,gk_avg_len,crosses,crosses_stopped,crosses_stopped_pct,OPA,OPA_per90,avg_dist
Roman Celentano,USA,GK,22,FC Cincinnati,MLS,33.0,37,5,0,2,2,35.3,0.26,0.3,0.01,138,365,37.8,559,137,41.9,35.8,260,50.4,38.8,446,21,4.7,20,0.61,12.1
Ron-Robert Zieler,GER,GK,34,Hannover 96,2. Bundesliga,34.0,44,4,0,7,2,43.1,0.27,1.1,0.03,171,511,33.5,1116,92,38.9,35.0,223,34.5,35.8,451,20,4.4,60,1.76,17.4
Ron-Thorben Hoffmann,GER,GK,24,Braunschweig,2. Bundesliga,33.0,52,7,1,7,1,53.8,0.3,2.8,0.09,185,573,32.3,1084,199,35.0,34.2,241,80.5,56.3,504,27,5.4,46,1.39,15.1
Rubén Gómez,ESP,GK,22,Villarreal B,Segunda Division,1.0,3,0,0,1,0,2.3,0.39,-0.7,-0.68,9,19,47.4,34,6,38.2,36.3,10,60.0,49.7,14,0,0.0,0,0.0,11.5
Rubén Yáñez,ESP,GK,30,Sporting Gijón,Segunda Division,37.9,39,2,0,5,1,37.2,0.26,-0.8,-0.02,141,432,32.6,927,201,32.7,32.5,313,41.2,38.0,575,52,9.0,22,0.58,11.8
Ryan Allsop,ENG,GK,31,Hull City,EFL,36.9,46,3,1,6,0,35.3,0.23,-10.7,-0.29,111,481,23.1,1850,94,22.5,27.1,123,52.0,42.5,498,32,6.4,42,1.14,15.2
Régis Gurtner,FRA,GK,36,Amiens,Ligue 2,35.0,32,5,0,3,0,35.6,0.24,3.6,0.1,211,393,53.7,547,108,38.0,33.8,287,64.5,44.2,568,20,3.5,4,0.11,8.5
Rúnar Alex Rúnarsson,ISL,GK,28,Cardiff City,EFL,6.0,8,0,0,1,0,9.0,0.38,1.0,0.17,20,60,33.3,179,33,22.9,29.0,42,45.2,38.0,67,5,7.5,5,0.83,15.2
San Román,ESP,GK,26,Elche,Segunda Division,14.0,13,0,0,0,0,12.3,0.27,-0.7,-0.05,50,154,32.5,354,47,34.2,31.9,83,39.8,38.9,188,10,5.3,8,0.57,12.3
Sean Johnson,USA,GK,33,Toronto FC,MLS,20.0,24,0,0,3,1,20.2,0.27,-2.8,-0.14,64,222,28.8,489,91,30.9,32.3,164,43.3,38.1,301,15,5.0,10,0.5,11.6
Sebastiano Desplanches,ITA,GK,20,Palermo,Serie B,2.0,2,0,0,0,0,1.4,0.23,-0.6,-0.3,13,35,37.1,52,4,44.2,37.4,14,85.7,53.4,40,1,2.5,3,1.5,13.2
Sebastián Jurado,MEX,GK,25,Cruz Azul,Liga MX,3.4,7,1,0,0,0,6.2,0.44,-0.8,-0.25,10,40,25.0,85,5,35.3,33.1,29,34.5,31.8,41,2,4.9,3,0.88,16.1
Sebastián Jurado,MEX,GK,25,FC Juárez,Liga MX,13.0,19,0,0,1,1,20.1,0.34,2.1,0.16,35,122,28.7,249,51,27.7,31.5,119,44.5,39.5,203,7,3.4,4,0.31,11.4
Semuel Pizzignacco,ITA,GK,21,FeralpiSalò,Serie B,38.0,65,8,0,13,1,53.1,0.27,-10.9,-0.29,273,705,38.7,913,127,49.3,38.0,328,77.7,52.6,606,26,4.3,22,0.58,13.1
Seny Dieng,SEN,GK,28,Middlesbrough,EFL,35.0,47,3,1,8,2,43.7,0.32,-1.3,-0.04,114,380,30.0,1274,156,23.9,28.1,164,46.3,37.2,470,29,6.2,55,1.57,16.5
Spencer Richey,USA,GK,30,Fire,MLS,4.7,7,1,0,1,0,4.7,0.22,-2.3,-0.49,16,37,43.2,77,12,31.2,31.2,38,34.2,33.6,58,4,6.9,13,2.78,20.0
Stefan Cleveland,USA,GK,28,Seattle,MLS,2.0,4,1,0,1,0,3.6,0.32,-0.4,-0.22,3,7,42.9,28,8,17.9,26.5,18,11.1,30.2,29,1,3.4,0,0.0,3.8
Stefan Frei,SUI,GK,36,Seattle,MLS,32.0,28,0,0,4,2,29.1,0.29,3.1,0.1,132,385,34.3,627,101,44.2,36.8,228,47.4,40.7,435,25,5.7,22,0.69,13.1
Steve Clark,USA,GK,36,Dynamo FC,MLS,33.0,38,6,0,3,1,37.8,0.29,0.8,0.03,112,294,38.1,878,181,23.6,28.4,222,39.2,35.5,495,24,4.8,27,0.82,13.1
Sébastien Cibois,FRA,GK,25,Rodez Aveyron,Ligue 2,12.7,18,1,1,3,0,14.4,0.26,-3.6,-0.28,66,207,31.9,320,51,48.1,38.7,111,47.7,40.8,214,10,4.7,11,0.87,12.4
Thomas Callens,FRA,GK,24,Annecy,Ligue 2,4.5,10,1,1,1,1,7.5,0.23,-1.5,-0.34,29,91,31.9,88,6,55.7,39.7,43,97.7,62.7,87,3,3.4,4,0.89,11.0
Thomas Dähne,GER,GK,29,Holstein Kiel,2. Bundesliga,3.0,5,0,0,0,0,2.5,0.21,-2.5,-0.84,18,37,48.6,101,16,26.7,29.6,20,50.0,37.8,36,1,2.8,6,2.0,19.3
Thomas Hasal,CAN,GK,23,Vancouver W'caps,MLS,1.0,3,0,1,0,1,3.2,0.49,1.2,1.16,5,13,38.5,33,8,21.2,27.1,9,66.7,48.8,19,0,0.0,0,0.0,13.0
Théo De Percin,MTQ,GK,22,Auxerre,Ligue 2,1.0,1,0,0,0,0,0.9,0.29,-0.1,-0.14,3,3,100.0,18,2,11.1,25.9,4,25.0,35.0,7,0,0.0,0,0.0,6.0
Tiago Volpi,BRA,GK,32,Toluca,Liga MX,34.0,42,2,0,1,0,42.6,0.29,0.6,0.02,162,417,38.8,1054,140,30.9,35.2,203,44.8,41.5,441,23,5.2,34,1.0,14.9
Tim Boss,GER,GK,30,Elversberg,2. Bundesliga,1.0,3,0,0,1,0,2.9,0.42,-0.1,-0.11,3,4,75.0,44,5,9.1,23.8,8,0.0,26.3,17,1,5.9,0,0.0,2.0
Tim Melia,USA,GK,36,Sporting KC,MLS,15.8,24,3,0,2,0,27.5,0.34,3.5,0.22,58,193,30.1,378,57,34.9,34.6,109,56.0,44.9,166,4,2.4,14,0.89,14.0
Timon Weiner,GER,GK,24,Holstein Kiel,2. Bundesliga,30.0,33,3,1,5,0,39.5,0.27,6.5,0.22,174,430,40.5,956,113,33.5,31.9,260,42.3,36.2,503,36,7.2,25,0.83,13.9
Tino Casali,AUT,GK,27,Braunschweig,2. Bundesliga,1.0,1,0,0,1,0,0.4,0.1,-0.6,-0.61,1,7,14.3,24,9,4.2,21.5,7,85.7,52.0,20,1,5.0,0,0.0,13.3
Tjark Ernst,GER,GK,20,Hertha BSC,2. Bundesliga,27.0,48,4,1,8,2,40.3,0.28,-5.7,-0.21,140,324,43.2,893,160,27.4,29.4,145,54.5,42.9,388,29,7.5,24,0.89,12.9
Tom Glover,AUS,GK,25,Middlesbrough,EFL,11.0,15,0,0,1,0,13.7,0.29,-1.3,-0.12,27,112,24.1,377,62,22.5,27.9,65,41.5,38.1,175,9,5.1,20,1.82,18.0
Tomas Romero,SLV,GK,22,Toronto FC,MLS,6.0,13,1,0,1,1,12.8,0.34,0.8,0.13,29,65,44.6,131,33,32.8,32.9,56,39.3,33.3,94,5,5.3,8,1.33,14.9
Tomeu Nadal,ESP,GK,35,Tenerife,Segunda Division,2.8,3,1,0,0,2,2.2,0.17,1.2,0.42,15,42,35.7,48,12,45.8,37.1,30,66.7,47.1,55,2,3.6,2,0.72,8.3
Tommaso Vitali,ITA,GK,23,Ternana,Serie B,6.0,6,1,0,1,0,8.8,0.27,2.8,0.47,42,121,34.7,150,26,56.0,41.9,52,71.2,52.1,115,10,8.7,5,0.83,13.0
Tommy Simkin,ENG,GK,18,Stoke City,EFL,1.0,1,0,0,0,0,0.4,0.21,-0.6,-0.58,7,24,29.2,24,5,70.8,43.6,7,100.0,67.7,16,0,0.0,0,0.0,17.0
Tomás Mejías,ESP,GK,35,Cartagena,Segunda Division,2.0,5,0,0,1,0,3.6,0.37,-1.4,-0.71,6,22,27.3,54,7,29.6,29.9,10,60.0,42.9,30,1,3.3,2,1.0,11.6
Tomáš Vaclík,CZE,GK,35,Albacete,Segunda Division,12.0,14,2,0,2,0,15.5,0.23,1.5,0.12,64,158,40.5,188,46,39.4,36.0,136,61.8,47.5,251,12,4.8,6,0.5,11.1
Tyler Miller,USA,GK,29,D.C. United,MLS,24.5,38,3,2,3,1,33.7,0.32,-3.3,-0.14,234,520,45.0,1030,99,39.9,34.7,175,62.3,47.6,317,25,7.9,106,4.33,23.7
Umberto Saracco,ITA,GK,29,Calcio Lecco 1912,Serie B,12.5,21,1,0,4,0,13.6,0.25,-7.4,-0.6,87,202,43.1,316,68,37.7,34.3,135,61.5,46.1,201,10,5.0,6,0.48,12.0
Vallejo,ESP,GK,29,Eldense,Segunda Division,11.0,21,2,0,1,1,15.6,0.29,-4.4,-0.4,78,225,34.7,259,44,54.8,41.4,95,87.4,63.4,148,13,8.8,8,0.73,14.2
Viktor Johansson,SWE,GK,24,Rotherham Utd,EFL,44.0,85,4,2,9,1,86.1,0.32,2.1,0.05,547,1402,39.0,1331,104,80.2,51.8,383,87.5,60.4,772,60,7.8,71,1.61,14.7
Václav Hladký,CZE,GK,32,Ipswich Town,EFL,46.0,57,2,1,3,6,52.1,0.31,1.1,0.02,155,364,42.6,1682,174,18.5,25.4,152,34.2,32.8,599,33,5.5,105,2.28,17.3
William Yarbrough,USA,GK,33,Rapids,MLS,20.0,25,1,1,3,0,25.6,0.28,0.6,0.03,70,225,31.1,472,96,33.3,32.2,181,37.6,34.9,261,12,4.6,35,1.75,17.1
Yahia Fofana,CIV,GK,22,Angers,Ligue 2,33.0,35,0,0,3,3,35.4,0.25,3.4,0.1,121,311,38.9,783,169,28.2,31.2,227,39.6,37.1,447,38,8.5,45,1.36,13.8
Yannis Clementia,MTQ,GK,26,Caen,Ligue 2,4.0,3,1,0,0,0,2.6,0.2,-0.4,-0.11,18,48,37.5,85,8,36.5,33.2,20,85.0,58.0,34,1,2.9,4,1.0,19.7
Yohei Takaoka,JPN,GK,26,Vancouver W'caps,MLS,33.0,45,0,2,7,0,45.8,0.33,0.8,0.02,127,390,32.6,747,99,35.7,34.5,234,52.6,47.0,450,26,5.8,20,0.61,11.6
Zac MacMath,USA,GK,31,RSL,MLS,27.5,36,2,2,4,1,34.9,0.27,-0.1,0.0,135,383,35.2,760,122,34.7,34.3,206,57.8,44.4,333,20,6.0,62,2.25,17.7
Zacharie Boucher,FRA,GK,31,Bastia,Ligue 2,2.0,3,0,0,1,1,2.5,0.36,0.5,0.25,14,28,50.0,42,11,38.1,33.5,19,63.2,45.7,38,1,2.6,2,1.0,20.0
