player,nationality,position,age,club,league,minutes_90s,passes,passes_live,passes_dead,passes_fk,through_balls,passes_switches,crosses,throw_ins,CK,CK_in,CK_out,CK_s,passes_completed,passes_offside,passes_blocked
Kai Pröger,GER,"FW,MF",31,Hansa Rostock,2. Bundesliga,21.9,406,344,57,2,0,1,48,8,0,0,0,0,237,5,29
Kai Wagner,GER,DF,25,Philadelphia,MLS,27.1,1677,1232,435,97,5,28,263,207,131,71,52,0,1159,10,24
Kaiky,BRA,DF,20,Albacete,Segunda Division,10.5,411,392,19,17,0,7,0,1,0,0,0,0,319,0,4
Kaine Kesler-Hayden,ENG,"DF,MF",20,Plymouth Argyle,EFL,19.0,986,809,176,14,3,7,21,162,0,0,0,0,750,1,22
Kal Naismith,SCO,DF,31,Bristol City,EFL,9.9,635,573,56,30,2,7,26,4,18,17,0,0,476,6,2
Kalidou Sidibé,FRA,"MF,FW",24,Quevilly-Rouen,Ligue 2,2.6,108,104,3,0,0,0,4,3,0,0,0,0,66,1,4
Kalidou Sidibé,FRA,MF,24,Guingamp,Ligue 2,21.0,1036,1022,10,9,3,5,9,1,0,0,0,0,741,4,19
Kalifa Coulibaly,MLI,FW,31,Quevilly-Rouen,Ligue 2,21.0,489,477,12,1,2,3,6,3,0,0,0,0,284,0,12
Kamal Miller,CAN,DF,25,Inter Miami,MLS,20.5,1326,1272,51,33,1,16,4,17,0,0,0,0,1174,3,9
Kamal Miller,CAN,DF,25,CF Montréal,MLS,5.3,311,286,24,9,0,5,1,15,0,0,0,0,260,1,6
Kamaldeen Sulemana,GHA,"FW,MF",21,Southampton,EFL,10.6,404,396,7,1,0,3,29,5,1,0,0,0,334,1,11
Kamil Jóźwiak,POL,"FW,MF",24,Charlotte,MLS,15.3,577,551,24,4,0,1,42,13,5,0,5,0,431,2,26
Kandet Diawara,GUI,"FW,MF",23,US Concarneau,Ligue 2,10.7,333,328,5,0,0,0,17,1,2,0,1,0,263,0,16
