player,nationality,position,age,club,league,minutes_90s,passes,passes_live,passes_dead,passes_fk,through_balls,passes_switches,crosses,throw_ins,CK,CK_in,CK_out,CK_s,passes_completed,passes_offside,passes_blocked
Alan Varela,ARG,MF,21,Boca Juniors,Primera Division,19.0,1155,1110,43,42,1,8,4,1,0,0,0,0,1022,2,18
Luis Advíncula,PER,"DF,FW",32,Boca Juniors,Primera Division,16.0,819,690,128,8,1,6,38,118,2,0,2,0,669,1,20
Bruno Valdez,PAR,DF,30,Boca Juniors,Primera Division,14.8,924,867,56,43,0,5,1,7,0,0,0,0,797,1,7
Frank Fabra,COL,DF,31,Boca Juniors,Primera Division,15.5,990,841,149,9,2,5,44,140,0,0,0,0,812,0,15
Sebastián Villa,COL,"FW,MF",26,Boca Juniors,Primera Division,14.9,620,544,75,26,4,11,113,7,42,16,19,0,418,1,32
Marcelo Weigandt,ARG,DF,23,Boca Juniors,Primera Division,13.5,757,648,105,2,1,3,32,103,0,0,0,0,579,4,20
Cristian Medina,ARG,"MF,FW",20,Boca Juniors,Primera Division,14.7,739,718,20,13,1,3,14,4,3,1,1,0,644,1,16
Miguel Merentiel,URU,FW,26,Boca Juniors,Primera Division,13.7,265,250,15,1,3,0,5,1,0,0,0,0,200,0,6
Oscar Romero,PAR,"MF,FW",30,Boca Juniors,Primera Division,11.9,816,735,78,33,4,16,68,8,36,15,17,0,636,3,27
Darío Benedetto,ARG,FW,32,Boca Juniors,Primera Division,9.9,176,154,21,0,1,3,11,0,0,0,0,0,116,1,5
Nicolás Valentini,ARG,DF,21,Boca Juniors,Primera Division,11.2,689,649,38,28,0,10,4,10,0,0,0,0,557,2,11
Valentín Barco,ARG,"DF,FW",18,Boca Juniors,Primera Division,9.2,463,393,68,11,2,4,48,51,6,0,6,0,348,2,14
Ignacio Fernández,ARG,MF,20,Boca Juniors,Primera Division,10.8,802,771,30,23,7,6,1,6,1,0,0,0,694,1,13
Facundo Roncaglia,ARG,DF,35,Boca Juniors,Primera Division,10.8,560,528,30,13,0,5,4,17,0,0,0,0,455,2,4
Luca Langoni,ARG,"FW,MF",20,Boca Juniors,Primera Division,7.9,173,160,12,2,0,2,18,4,5,0,3,0,131,1,7
Juan Ramírez,ARG,"MF,FW",29,Boca Juniors,Primera Division,6.2,289,274,15,8,0,0,10,6,1,0,1,0,244,0,5
Martín Payero,ARG,MF,24,Boca Juniors,Primera Division,5.6,234,220,14,5,0,3,13,2,6,1,4,0,174,0,7
Felicia Karlsson,ARG,DF,29,Boca Juniors,Primera Division,5.1,301,237,64,1,1,0,23,63,0,0,0,0,234,0,12
Luis Vázquez,ARG,FW,22,Boca Juniors,Primera Division,4.8,108,98,9,0,0,0,4,1,0,0,0,0,71,1,8
Javier Hernán García,ARG,GK,36,Boca Juniors,Primera Division,4.0,111,77,34,11,0,0,0,0,0,0,0,0,78,0,0
Nicolás Orsini,ARG,FW,28,Boca Juniors,Primera Division,2.3,45,41,3,0,0,0,2,0,0,0,0,0,33,1,1
Norberto Briasco,ARM,"FW,MF",26,Boca Juniors,Primera Division,3.8,127,121,6,1,0,0,14,3,2,0,1,0,97,0,4
Esteban Rolón,ARG,MF,27,Boca Juniors,Primera Division,1.6,112,108,4,4,0,0,0,0,0,0,0,0,99,0,1
Nahuel Génez,ARG,DF,19,Boca Juniors,Primera Division,1.0,61,55,6,0,0,0,5,6,0,0,0,0,49,0,0
Exequiel Zeballos,ARG,"MF,FW",20,Boca Juniors,Primera Division,1.2,29,23,6,2,0,1,10,0,4,1,2,0,20,0,1
Aaron Anselmino,ARG,DF,17,Boca Juniors,Primera Division,0.5,40,39,1,0,0,0,0,1,0,0,0,0,39,0,0
Diego González,ARG,MF,34,Boca Juniors,Primera Division,0.4,39,39,0,0,0,0,0,0,0,0,0,0,32,0,1
Brandon Cortés,CHI,FW,21,Boca Juniors,Primera Division,0.2,21,21,0,0,0,2,1,0,0,0,0,0,15,0,2
Javier Morales,ARG,FW,19,Boca Juniors,Primera Division,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Facundo Mallo,URU,DF,28,Rosario Central,Primera Division,26.0,878,836,37,36,1,18,1,1,0,0,0,0,660,5,4
Alan Rodríguez,PAR,DF,22,Rosario Central,Primera Division,25.0,1192,949,240,16,0,4,94,224,0,0,0,0,821,3,35
Víctor Malcorra,ARG,"MF,FW",35,Rosario Central,Primera Division,23.0,808,696,106,36,5,9,124,10,60,9,39,0,522,6,33
Damián Martínez,ARG,DF,33,Rosario Central,Primera Division,22.4,822,605,215,13,0,2,52,201,1,0,1,0,588,2,26
Carlos Quintana,ARG,DF,34,Rosario Central,Primera Division,22.3,742,709,33,33,0,5,0,0,0,0,0,0,562,0,7
Jorge Broun,ARG,GK,36,Rosario Central,Primera Division,23.0,637,331,305,87,0,3,0,0,0,0,0,0,457,1,0
Kevin Ortíz,ARG,MF,22,Rosario Central,Primera Division,21.1,709,696,11,8,1,7,3,2,0,0,0,0,536,2,15
Jaminton Campaz,COL,"FW,MF",22,Rosario Central,Primera Division,20.3,700,652,42,10,2,0,87,22,10,1,9,0,471,6,23
Alejo Véliz,ARG,FW,19,Rosario Central,Primera Division,19.8,315,275,39,0,1,0,3,1,0,0,0,0,203,1,9
Francis Mac Allister,ARG,MF,27,Rosario Central,Primera Division,13.7,644,581,61,38,3,6,26,2,21,1,16,0,493,2,8
Laurtaro Giaccone,ARG,"FW,MF",21,Rosario Central,Primera Division,12.5,346,339,5,2,5,9,20,3,0,0,0,0,254,2,14
Juan Cruz Komar,ARG,DF,26,Rosario Central,Primera Division,11.8,348,328,19,17,0,6,0,2,0,0,0,0,246,1,7
Walter Montoya,ARG,MF,29,Rosario Central,Primera Division,10.3,452,420,31,18,0,6,23,4,9,0,8,0,366,1,17
Gino Infantino,ARG,"MF,FW",19,Rosario Central,Primera Division,9.0,271,267,4,1,2,1,3,3,0,0,0,0,214,0,7
Jhonatan Candia,URU,FW,27,Rosario Central,Primera Division,6.2,151,140,11,0,0,1,5,0,0,0,0,0,107,0,7
Agustín Toledo,ARG,MF,22,Rosario Central,Primera Division,5.4,250,245,5,5,0,1,2,0,0,0,0,0,181,0,7
Gaspar Servio,ARG,GK,30,Rosario Central,Primera Division,4.0,101,53,47,15,0,0,0,0,0,0,0,0,54,1,0
Fabricio Oviedo,ARG,FW,18,Rosario Central,Primera Division,2.1,17,16,1,0,0,0,0,0,0,0,0,0,13,0,1
Ismael Cortéz,ARG,DF,21,Rosario Central,Primera Division,4.5,174,120,54,3,0,1,6,51,0,0,0,0,115,0,8
Lucas Rodríguez,ARG,DF,29,Rosario Central,Primera Division,2.3,119,95,24,2,0,0,7,22,0,0,0,0,75,0,5
Luciano Ferreyra,ARG,"MF,FW",20,Rosario Central,Primera Division,1.6,55,49,6,2,1,1,5,1,3,1,0,0,44,0,0
Tomás O'Connor,ARG,"MF,FW",18,Rosario Central,Primera Division,1.5,80,77,1,0,1,0,2,1,0,0,0,0,60,2,1
Facundo Aguero,ARG,DF,28,Rosario Central,Primera Division,1.4,60,58,2,2,0,0,1,0,0,0,0,0,46,0,1
Octavio Bianchi,ARG,"FW,MF",27,Rosario Central,Primera Division,3.8,93,87,5,0,0,0,9,0,0,0,0,0,51,1,4
Luca Martínez,MEX,FW,22,Rosario Central,Primera Division,1.7,27,26,1,0,0,0,2,0,0,0,0,0,13,0,2
Francesco Lo Celso,ARG,"MF,FW",22,Rosario Central,Primera Division,1.5,70,65,5,1,1,0,8,0,4,2,2,0,53,0,2
Kevin Silva,ARG,DF,19,Rosario Central,Primera Division,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Matías Rodríguez,ARG,GK,33,Godoy Cruz,Primera Division,26.0,793,469,323,95,0,11,0,0,0,0,0,0,528,1,0
Federico Rasmussen,ARG,DF,30,Godoy Cruz,Primera Division,26.0,950,922,25,21,0,11,0,4,0,0,0,0,760,3,14
Gonzalo Abrego,ARG,MF,23,Godoy Cruz,Primera Division,23.7,851,841,7,3,1,18,20,4,0,0,0,0,660,3,21
Roberto Nicolás Fernández,URU,"FW,MF",24,Godoy Cruz,Primera Division,23.3,915,822,90,34,4,8,73,13,43,3,28,0,658,3,28
Pier Barrios,ARG,DF,32,Godoy Cruz,Primera Division,23.1,969,885,78,40,0,3,14,38,0,0,0,0,706,6,13
Lucas Arce,ARG,DF,25,Godoy Cruz,Primera Division,23.3,1182,906,274,4,0,3,69,270,0,0,0,0,850,2,35
Salomón Rodríguez,URU,FW,22,Godoy Cruz,Primera Division,19.7,335,290,45,1,1,2,10,4,0,0,0,0,207,0,16
Hernán López Muñoz,ARG,MF,22,Godoy Cruz,Primera Division,17.0,590,525,61,15,2,8,70,3,42,10,26,0,396,4,18
Tadeo Allende,ARG,"FW,MF",23,Godoy Cruz,Primera Division,18.2,491,477,10,1,0,6,44,1,1,1,0,0,290,4,24
Bruno Leyes,ARG,MF,21,Godoy Cruz,Primera Division,14.6,633,600,27,27,1,10,7,0,0,0,0,0,485,6,13
Thomas Galdames,CHI,DF,24,Godoy Cruz,Primera Division,14.4,538,380,158,18,0,4,45,122,18,0,15,0,349,0,17
Tomás Conechny,ARG,"FW,MF",24,Godoy Cruz,Primera Division,15.9,516,500,12,1,2,7,31,10,0,0,0,0,327,4,23
Juan Meli,ARG,DF,22,Godoy Cruz,Primera Division,11.9,558,402,153,6,0,1,22,147,0,0,0,0,354,3,24
Juan Andrada,ARG,MF,28,Godoy Cruz,Primera Division,6.8,250,234,16,15,0,5,4,1,0,0,0,0,187,0,3
Brian Salvareschi,ARG,DF,23,Godoy Cruz,Primera Division,5.3,162,159,3,3,0,1,0,0,0,0,0,0,106,0,5
Matías Ramírez,ARG,"MF,FW",23,Godoy Cruz,Primera Division,5.7,191,158,32,12,0,2,43,4,16,5,8,1,111,1,14
Gianluca Ferrari,ARG,DF,25,Godoy Cruz,Primera Division,2.5,76,71,5,5,0,3,0,0,0,0,0,0,56,0,0
Cristian Núñez,PAR,MF,25,Godoy Cruz,Primera Division,5.2,267,263,4,4,2,3,2,0,0,0,0,0,218,0,10
Enzo Larrosa,URU,"FW,MF",21,Godoy Cruz,Primera Division,3.9,80,70,10,0,1,4,1,0,0,0,0,0,51,0,5
Luciano Cingolani,ARG,"MF,FW",21,Godoy Cruz,Primera Division,2.0,43,36,6,1,0,1,6,2,3,1,1,0,22,1,2
Mateo Mendoza,ARG,DF,18,Godoy Cruz,Primera Division,1.2,42,26,16,0,0,0,0,16,0,0,0,0,25,0,3
Silvio Ulariaga,ARG,"MF,FW",20,Godoy Cruz,Primera Division,1.0,19,19,0,0,0,0,1,0,0,0,0,0,14,0,2
Claudio Valverde,ARG,MF,20,Godoy Cruz,Primera Division,1.0,40,40,0,0,0,0,3,0,0,0,0,0,32,0,1
Rodrigo Saracho,ARG,GK,29,Godoy Cruz,Primera Division,1.0,27,14,13,6,0,0,0,0,0,0,0,0,18,0,0
Julián Eseiza,ARG,"DF,MF",20,Godoy Cruz,Primera Division,1.9,77,61,14,0,0,0,6,13,1,0,0,0,44,2,3
Gastón Pedernera,ARG,MF,22,Godoy Cruz,Primera Division,0.5,11,10,1,0,0,0,2,0,1,0,1,0,7,0,0
Facundo Altamira,ARG,MF,22,Godoy Cruz,Primera Division,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Enzo Rivamar,ARG,MF,20,Godoy Cruz,Primera Division,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Lucas Villalba,ARG,DF,28,Arg Juniors,Primera Division,23.8,1807,1691,109,65,2,29,45,41,3,0,3,0,1379,7,25
Gabriel Ávalos,PAR,FW,32,Arg Juniors,Primera Division,19.7,490,448,35,0,2,0,9,0,0,0,0,0,303,7,18
Kevin Mac Allister,ARG,DF,25,Arg Juniors,Primera Division,19.2,1256,1023,231,22,0,5,17,209,0,0,0,0,947,2,20
Francisco González,ARG,MF,25,Arg Juniors,Primera Division,17.6,620,571,44,13,1,1,40,6,25,4,10,1,470,5,15
Javier Cabrera,URU,"DF,MF",30,Arg Juniors,Primera Division,17.3,731,677,50,6,3,4,132,16,28,0,24,0,475,4,38
Santiago Montiel,ARG,"DF,MF",22,Arg Juniors,Primera Division,18.0,848,640,205,19,0,13,104,155,31,2,24,1,557,3,52
Franco Moyano,ARG,MF,25,Arg Juniors,Primera Division,17.4,1113,1036,76,50,1,7,42,2,24,1,22,0,965,1,3
Miguel Ángel Torrén,ARG,DF,34,Arg Juniors,Primera Division,13.8,970,896,74,71,0,12,10,3,0,0,0,0,806,0,2
Gastón Verón,ARG,"FW,MF",21,Arg Juniors,Primera Division,14.5,514,505,3,0,2,2,7,1,0,0,0,0,385,6,17
Federico Lanzillota,ARG,GK,30,Arg Juniors,Primera Division,14.0,423,307,116,25,0,0,0,0,0,0,0,0,353,0,0
Federico Redondo,ARG,MF,20,Arg Juniors,Primera Division,14.2,881,866,15,11,2,4,4,3,1,0,1,0,768,0,7
Alexis Martin Arias,ARG,GK,30,Arg Juniors,Primera Division,13.0,394,282,112,14,0,1,0,0,0,0,0,0,333,0,0
Alan Rodríguez,URU,MF,23,Arg Juniors,Primera Division,12.9,530,521,7,2,0,1,11,2,3,0,0,0,399,2,19
Marco Di Cesare,ARG,DF,21,Arg Juniors,Primera Division,12.1,854,806,47,43,0,5,0,2,0,0,0,0,687,1,5
Thiago Nuss,ARG,"FW,MF",21,Arg Juniors,Primera Division,10.1,198,192,5,1,0,0,33,2,2,0,1,0,114,1,13
Luciano Sánchez,ARG,"DF,FW",29,Arg Juniors,Primera Division,9.5,513,414,97,12,0,5,15,84,1,1,0,0,399,2,15
Rodrigo Cabral,ARG,"DF,MF",22,Arg Juniors,Primera Division,8.7,262,249,11,2,0,3,49,4,5,4,0,0,168,2,16
Fabricio Domínguez,URU,"MF,DF",24,Arg Juniors,Primera Division,8.6,342,317,21,11,2,3,41,1,9,2,7,0,226,4,14
Leonardo Heredia,ARG,"FW,MF",27,Arg Juniors,Primera Division,7.3,256,241,11,1,0,3,9,0,3,0,3,0,191,4,8
Matías Vera,ARG,MF,27,Arg Juniors,Primera Division,5.8,333,324,8,6,0,2,1,1,1,0,0,0,292,1,4
Leonel González,ARG,DF,28,Arg Juniors,Primera Division,4.3,318,289,28,10,0,3,3,18,0,0,0,0,253,1,6
Mariano Bíttolo,ARG,"DF,MF",32,Arg Juniors,Primera Division,3.9,182,148,33,2,0,0,11,29,2,0,2,0,130,1,3
Pablo Minissale,ARG,DF,22,Arg Juniors,Primera Division,4.1,288,247,41,10,0,2,3,31,0,0,0,0,229,0,5
José Herrera,ARG,"DF,FW",17,Arg Juniors,Primera Division,3.5,127,120,7,1,0,0,16,2,4,3,0,0,91,0,5
Facundo Ferreyra,ARG,"FW,MF",31,Arg Juniors,Primera Division,2.1,66,61,5,1,2,0,1,1,0,0,0,0,38,0,3
Román Riquelme,ARG,DF,20,Arg Juniors,Primera Division,0.5,34,33,1,1,0,0,0,0,0,0,0,0,31,0,0
Tomás Marchiori,ARG,GK,27,Atlé Tucumán,Primera Division,27.0,680,349,330,77,0,1,0,0,0,0,0,0,422,1,0
Matías Orihuela,ARG,DF,30,Atlé Tucumán,Primera Division,24.7,1013,774,234,8,2,2,56,226,0,0,0,0,732,5,30
Joaquín Pereyra,ARG,MF,24,Atlé Tucumán,Primera Division,24.7,1314,1193,118,47,14,25,117,15,55,14,36,0,940,3,28
Mateo Coronel,ARG,FW,24,Atlé Tucumán,Primera Division,21.5,521,500,19,2,3,2,34,0,8,2,3,0,362,2,21
Bruno Bianchi,ARG,DF,33,Atlé Tucumán,Primera Division,24.0,904,851,52,49,0,10,0,2,0,0,0,0,680,1,9
Guillermo Acosta,ARG,MF,34,Atlé Tucumán,Primera Division,20.8,925,897,24,22,2,7,11,2,0,0,0,0,754,4,20
Nicolás Romero,ARG,DF,19,Atlé Tucumán,Primera Division,21.1,721,664,55,25,0,7,0,30,0,0,0,0,525,2,12
Marcelo Estigarribia,ARG,FW,27,Atlé Tucumán,Primera Division,19.3,548,507,34,1,1,4,9,2,0,0,0,0,309,7,23
Renzo Tesuri,ARG,"DF,MF",26,Atlé Tucumán,Primera Division,19.6,780,666,109,9,0,10,32,100,0,0,0,0,534,5,43
Adrián Guillermo Sánchez,ARG,MF,23,Atlé Tucumán,Primera Division,16.3,710,658,50,17,2,5,45,20,13,2,9,0,554,2,13
Bautista Kociubinski,ARG,MF,21,Atlé Tucumán,Primera Division,14.1,685,651,31,15,1,6,21,1,15,0,13,0,568,3,8
Marcelo Ortiz,ARG,DF,29,Atlé Tucumán,Primera Division,11.9,455,365,89,9,0,7,6,80,0,0,0,0,304,1,7
Ramiro Ruiz,ARG,"FW,MF",22,Atlé Tucumán,Primera Division,11.5,284,277,6,1,1,4,21,3,0,0,0,0,187,1,14
Hernán De La Fuente,ARG,DF,26,Atlé Tucumán,Primera Division,6.4,312,228,82,5,0,1,11,77,0,0,0,0,222,2,7
Francisco Di Franco,ARG,"MF,DF",28,Atlé Tucumán,Primera Division,5.5,181,177,4,1,0,0,2,1,2,0,1,0,148,0,5
Yonathan Cabral,ARG,DF,30,Atlé Tucumán,Primera Division,5.4,220,212,8,7,0,1,0,0,0,0,0,0,176,0,4
Francisco Flores,ARG,DF,21,Atlé Tucumán,Primera Division,3.0,135,131,4,3,0,1,0,1,0,0,0,0,117,0,0
Marcelo González,PAR,MF,26,Atlé Tucumán,Primera Division,2.7,105,98,6,2,0,0,11,3,1,0,1,0,78,1,5
Moisés Brandán,ARG,DF,22,Atlé Tucumán,Primera Division,2.3,105,74,31,1,0,2,4,30,0,0,0,0,68,0,7
Cristian Menéndez,ARG,FW,34,Atlé Tucumán,Primera Division,4.2,105,96,7,0,0,0,4,1,0,0,0,0,62,2,2
Ignacio Maestro Puch,ARG,"FW,MF",19,Atlé Tucumán,Primera Division,4.0,69,64,5,0,0,0,1,0,0,0,0,0,47,0,1
Braian Guille,ARG,"MF,FW",25,Atlé Tucumán,Primera Division,3.8,196,172,23,6,2,3,30,4,13,3,7,0,120,1,7
Wilson Ibarrola,PAR,DF,26,Atlé Tucumán,Primera Division,1.8,57,40,15,0,0,0,9,15,0,0,0,0,31,2,2
Lucas Naranjo,ARG,MF,21,Atlé Tucumán,Primera Division,0.1,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0
Maximiliano Alanís,ARG,DF,19,Atlé Tucumán,Primera Division,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Kevin Isa,ARG,MF,21,Atlé Tucumán,Primera Division,0.0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Gabriel Arias,CHI,GK,35,Racing Club,Primera Division,23.7,738,455,283,77,0,4,0,0,0,0,0,0,566,0,0
Juan Nardoni,ARG,MF,20,Racing Club,Primera Division,21.1,889,862,22,17,2,3,11,5,0,0,0,0,715,5,23
Leonardo Sigali,ARG,DF,35,Racing Club,Primera Division,18.3,1203,1144,53,51,2,15,9,2,0,0,0,0,1004,6,7
Gonzalo Piovi,ARG,"DF,MF",28,Racing Club,Primera Division,17.7,1176,1056,116,50,1,24,21,65,1,0,0,0,938,4,10
Jonathan David Gómez,ARG,MF,33,Racing Club,Primera Division,17.3,712,675,30,8,9,7,23,10,12,5,5,0,574,7,10
Facundo Mura,ARG,"DF,MF",23,Racing Club,Primera Division,17.0,950,764,184,12,2,7,44,172,0,0,0,0,738,2,36
Gabriel Hauche,ARG,"FW,MF",36,Racing Club,Primera Division,16.8,589,569,17,1,0,3,51,8,1,0,0,0,422,3,24
Maximiliano Romero,ARG,FW,24,Racing Club,Primera Division,16.1,243,206,32,0,0,1,4,1,0,0,0,0,181,5,9
Aníbal Moreno,ARG,MF,23,Racing Club,Primera Division,15.5,929,909,18,15,3,7,5,2,1,0,0,0,770,2,23
Gabriel Rojas,ARG,"DF,MF",25,Racing Club,Primera Division,14.9,772,621,149,7,1,6,56,142,0,0,0,0,612,2,24
Nicolás Oróz,ARG,"MF,FW",28,Racing Club,Primera Division,14.4,673,601,64,16,3,6,58,4,44,22,15,1,521,8,18
Matías Rojas,PAR,FW,27,Racing Club,Primera Division,11.3,528,458,65,23,7,23,67,4,38,23,7,3,356,5,15
Tomás Avilés,ARG,"DF,MF",18,Racing Club,Primera Division,11.1,619,587,31,17,1,5,1,14,0,0,0,0,465,1,14
Emiliano Insúa,ARG,DF,34,Racing Club,Primera Division,9.2,735,714,20,18,0,6,6,2,0,0,0,0,663,1,1
Santiago Quiros,ARG,DF,19,Racing Club,Primera Division,7.3,364,340,23,14,0,5,0,9,0,0,0,0,274,1,9
Maximiliano Moralez,ARG,"MF,FW",35,Racing Club,Primera Division,7.3,462,417,44,16,2,7,31,6,19,10,4,0,366,1,9
Jonathan Galván,ARG,DF,30,Racing Club,Primera Division,6.5,477,447,29,19,0,11,4,9,0,0,0,0,382,1,2
Johan Carbonero,COL,FW,23,Racing Club,Primera Division,5.0,138,136,2,0,0,2,8,0,2,0,0,0,107,0,5
Paolo Guerrero,PER,FW,39,Racing Club,Primera Division,6.5,165,156,9,0,1,0,2,0,0,0,0,0,123,0,2
Baltasar Gallego,ARG,"FW,MF",19,Racing Club,Primera Division,5.2,139,137,2,0,0,0,1,2,0,0,0,0,104,0,6
Emiliano Saliadarre,ARG,"FW,MF",20,Racing Club,Primera Division,3.8,94,93,1,0,0,0,16,0,0,0,0,0,63,0,5
Nicolás Reniero,ARG,"FW,MF",27,Racing Club,Primera Division,5.0,149,137,11,0,0,0,7,0,0,0,0,0,100,1,4
Oscar Opazo,CHI,DF,32,Racing Club,Primera Division,4.9,301,245,56,5,0,1,15,51,0,0,0,0,249,0,5
Matías Tagliamonte,ARG,GK,24,Racing Club,Primera Division,3.3,98,59,39,9,0,0,0,0,0,0,0,0,68,0,0
Tobías Rubio,ARG,"MF,DF",18,Racing Club,Primera Division,3.0,157,136,21,2,0,0,7,19,0,0,0,0,116,0,6
Iván Pillud,ARG,"DF,MF",36,Racing Club,Primera Division,4.5,241,204,37,4,0,0,15,33,0,0,0,0,196,0,1
Agustin Ojeda,ARG,FW,18,Racing Club,Primera Division,1.9,64,63,1,0,0,0,2,1,0,0,0,0,51,0,1
Héctor Fértoli,ARG,"FW,MF",28,Racing Club,Primera Division,1.6,97,85,12,2,0,1,25,2,8,2,6,0,64,0,4
Edwin Cardona,COL,"FW,MF",30,Racing Club,Primera Division,1.0,60,51,8,4,0,0,5,1,3,0,3,0,37,1,0
Juan Cáceres,PAR,DF,22,Racing Club,Primera Division,0.4,24,22,2,0,0,0,0,2,0,0,0,0,20,0,0
Catriel Cabellos,PER,"MF,FW",18,Racing Club,Primera Division,1.3,63,60,3,0,1,0,1,3,0,0,0,0,47,0,5
Tomás Pérez,ARG,FW,16,Racing Club,Primera Division,0.6,15,15,0,0,0,0,0,0,0,0,0,0,7,0,0
Santino Vera,ARG,"MF,FW",16,Racing Club,Primera Division,0.5,43,42,1,1,0,1,0,0,0,0,0,0,35,0,1
Román Fernández,ARG,FW,17,Racing Club,Primera Division,0.4,20,19,1,0,0,0,2,1,0,0,0,0,16,0,1
Ignacio Galván,ARG,DF,20,Racing Club,Primera Division,0.1,9,4,5,0,0,0,1,5,0,0,0,0,8,0,0
Ramiro Degregorio,ARG,MF,19,Racing Club,Primera Division,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Santiago Longo,ARG,MF,24,Belgrano,Primera Division,26.8,1189,1131,55,54,2,10,12,1,0,0,0,0,972,3,17
Pablo Vegetti,ARG,FW,34,Belgrano,Primera Division,26.5,503,467,36,0,1,6,29,1,0,0,0,0,296,0,31
Nahuel Losada,ARG,GK,29,Belgrano,Primera Division,25.5,813,529,282,62,0,3,0,0,0,0,0,0,616,2,0
Ulises Sánchez,ARG,MF,24,Belgrano,Primera Division,23.8,798,679,113,45,3,16,106,32,36,13,11,4,518,6,25
Alejandro Rébola,ARG,DF,34,Belgrano,Primera Division,23.0,972,909,61,54,2,13,0,6,0,0,0,0,765,2,13
Bruno Zapelli,ARG,"MF,FW",20,Belgrano,Primera Division,20.2,860,836,23,4,7,13,36,7,11,3,7,0,638,1,24
Nicolás Meriano,ARG,DF,22,Belgrano,Primera Division,17.4,753,697,54,32,0,11,4,14,0,0,0,0,575,2,3
Juan Barinaga,ARG,DF,22,Belgrano,Primera Division,13.7,599,431,167,3,0,4,52,163,1,0,0,0,405,1,21
Erik Godoy,ARG,DF,29,Belgrano,Primera Division,14.4,551,529,21,18,0,5,1,3,0,0,0,0,439,1,1
Matias Ibacache,CHI,DF,24,Belgrano,Primera Division,12.0,595,442,151,8,0,7,34,142,1,0,1,0,436,2,16
Ariel Rojas,ARG,MF,37,Belgrano,Primera Division,11.7,492,453,36,21,2,8,28,0,14,1,9,0,357,3,12
Franco Jara,ARG,FW,34,Belgrano,Primera Division,9.9,214,202,11,0,0,2,19,2,0,0,0,0,152,1,17
Lucas Diarte,ARG,DF,29,Belgrano,Primera Division,10.8,495,353,141,8,0,2,40,132,1,0,1,0,341,1,20
Gabriel Compagnucci,ARG,"DF,MF",31,Belgrano,Primera Division,10.8,448,344,104,10,0,3,62,79,15,1,13,0,319,0,19
Matías García,ARG,MF,31,Belgrano,Primera Division,8.2,375,331,42,15,0,7,53,3,24,5,18,0,267,2,11
Tomas Castro,ARG,MF,20,Belgrano,Primera Division,4.6,179,172,6,2,0,1,5,2,1,1,0,0,142,1,1
Iván Ortigoza,ARG,"FW,MF",27,Belgrano,Primera Division,4.5,157,151,4,0,0,3,22,2,1,1,0,0,108,2,7
Guillermo Pereira,ARG,"DF,MF",29,Belgrano,Primera Division,5.8,245,203,40,2,1,5,27,37,1,0,1,0,155,2,8
Matias Moreno,ARG,DF,19,Belgrano,Primera Division,3.1,129,118,11,11,0,0,2,0,0,0,0,0,100,0,2
Ibrahim Hesar,SYR,"MF,FW",29,Belgrano,Primera Division,5.9,152,141,7,0,0,2,27,6,1,0,1,0,82,4,16
Diego Novaretti,ARG,DF,37,Belgrano,Primera Division,2.6,97,90,7,6,0,1,0,0,0,0,0,0,64,0,0
Fabián Bordagaray,ARG,"FW,MF",35,Belgrano,Primera Division,2.6,99,95,4,0,0,1,3,1,1,0,0,0,75,0,2
Daniel Barrea,ARG,FW,21,Belgrano,Primera Division,2.1,53,52,1,0,0,0,10,0,0,0,0,0,32,0,4
Mariano Miño,ARG,MF,28,Belgrano,Primera Division,1.8,94,90,4,3,2,1,6,0,0,0,0,0,76,0,1
Manuel Vicentini,ARG,GK,32,Belgrano,Primera Division,1.5,50,34,16,5,0,0,0,0,0,0,0,0,36,0,0
Francisco Oliver,ARG,DF,27,Belgrano,Primera Division,1.1,47,34,13,0,0,1,0,13,0,0,0,0,36,0,1
Joaquín Susvielles,ARG,"FW,DF",31,Belgrano,Primera Division,2.0,70,68,1,0,0,0,2,0,0,0,0,0,42,1,3
Iván Ramírez,ARG,MF,32,Belgrano,Primera Division,1.6,43,41,2,1,0,0,1,0,0,0,0,0,30,0,1
Gerónimo Tomasetti,ARG,MF,22,Belgrano,Primera Division,0.6,26,26,0,0,0,0,0,0,0,0,0,0,20,0,2
Andrés Felipe Amaya,COL,MF,21,Belgrano,Primera Division,0.3,6,6,0,0,0,0,1,0,0,0,0,0,4,0,0
Francisco Facello,ARG,DF,20,Belgrano,Primera Division,0.2,12,9,3,0,0,0,3,3,0,0,0,0,8,0,0
Facundo Lencioni,ARG,MF,21,Belgrano,Primera Division,0.2,7,6,0,0,0,0,0,0,0,0,0,0,5,1,0
Lucas Hoyos,ARG,GK,33,Newell's OB,Primera Division,27.0,1126,887,239,59,0,6,0,0,0,0,0,0,889,0,1
Juan Sforza,ARG,MF,20,Newell's OB,Primera Division,20.9,1231,1177,50,42,3,10,0,2,0,0,0,0,1046,4,14
