player,nationality,position,age,club,league,MP,starts,mins,minutes_90s,GA,GA90,shotsOT_a,saves,save_pct,W,D,L,CS,CS_pct,PKatt,PK_scored,PK_save,PK_missed,PK_pct
Morro,ESP,GK,23,Villarreal B,Segunda Division,9,9,810,9.0,16,1.78,43,28,69.8,0,4,5,1,11.1,3,3,0,0,0.0
Mouhamadou Sarr,SEN,GK,26,Cremonese,Serie B,12,12,"1,080",12.0,12,1.0,45,33,75.6,5,4,3,3,25.0,2,1,1,0,50.0
Nahuel Guzmán,ARG,GK,37,UANL,Liga MX,24,24,"2,160",24.0,27,1.13,101,76,75.2,10,8,6,7,29.2,2,2,0,0,0.0
Nathan Bishop,ENG,GK,23,Sunderland,EFL,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,0.0
Neil Etheridge,PHI,GK,33,Birmingham City,EFL,2,2,180,2.0,3,1.5,5,2,40.0,0,0,2,0,0.0,0,0,0,0,0.0
Nico Ratti,ITA,GK,30,FC Andorra,Segunda Division,26,26,"2,340",26.0,35,1.35,110,75,69.1,7,5,14,7,26.9,1,1,0,0,0.0
Nicola Ravaglia,ITA,GK,34,Sampdoria,Serie B,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,0.0
Nicolas Kristof,GER,GK,23,Elversberg,2. Bundesliga,33,33,"2,970",33.0,60,1.82,169,109,68.6,12,7,14,4,12.1,7,7,0,0,0.0
Nicolas Lemaître,FRA,GK,26,Troyes,Ligue 2,4,3,315,3.5,5,1.43,14,10,64.3,0,0,3,1,33.3,0,0,0,0,0.0
Nikola Vasilj,BIH,GK,27,St. Pauli,2. Bundesliga,34,34,"3,060",34.0,36,1.06,114,77,71.1,20,9,5,10,29.4,4,3,1,0,25.0
Nils-Jonathan Körber,GER,GK,26,Hansa Rostock,2. Bundesliga,2,1,115,1.3,5,3.91,10,5,50.0,0,0,1,0,0.0,0,0,0,0,0.0
Novak Mićović,SRB,GK,21,LA Galaxy,MLS,2,2,180,2.0,6,3.0,12,6,50.0,0,1,1,0,0.0,0,0,0,0,0.0
Nícolas Andrade,BRA,GK,35,Pisa,Serie B,31,31,"2,790",31.0,42,1.35,120,79,69.2,8,11,12,7,22.6,5,5,0,0,0.0
Obed Nkambadio,FRA,GK,20,Paris FC,Ligue 2,30,30,"2,655",29.5,30,1.02,100,70,72.0,14,11,5,9,30.0,3,2,1,0,33.3
Oliver Christensen,DEN,GK,24,Hertha BSC,2. Bundesliga,2,2,180,2.0,2,1.0,7,5,71.4,0,0,2,0,0.0,0,0,0,0,0.0
Oscar Jiménez,MEX,GK,34,América,Liga MX,6,5,495,5.5,4,0.73,26,22,84.6,4,0,1,3,60.0,0,0,0,0,0.0
Pablo Cuñat,ESP,GK,22,Amorebieta,Segunda Division,26,26,"2,340",26.0,29,1.12,107,79,76.6,4,9,13,7,26.9,5,4,1,0,20.0
Pablo Sisniega,MEX,GK,27,Charlotte,MLS,3,3,270,3.0,7,2.33,15,9,60.0,0,0,3,0,0.0,1,1,0,0,0.0
Patrick Drewes,GER,GK,30,Karlsruher,2. Bundesliga,32,32,"2,880",32.0,46,1.44,160,114,72.5,14,10,8,7,21.9,3,2,1,0,33.3
Patrick Schulte,USA,GK,21,Crew,MLS,31,31,"2,790",31.0,43,1.39,132,90,69.7,15,8,8,7,22.6,4,3,0,1,0.0
Pedro Gallese,PER,GK,32,Orlando City,MLS,30,30,"2,700",30.0,33,1.1,110,77,71.8,16,8,6,10,33.3,3,2,1,0,33.3
Pelle Boevink,NED,GK,25,Paderborn 07,2. Bundesliga,20,20,"1,800",20.0,27,1.35,73,46,67.1,10,4,6,6,30.0,5,3,1,1,25.0
Philipp Kühn,GER,GK,30,Osnabrück,2. Bundesliga,19,19,"1,703",18.9,32,1.69,102,70,70.6,5,6,8,6,31.6,2,2,0,0,0.0
Quentin Westberg,USA,GK,36,Atlanta Utd,MLS,6,6,495,5.5,10,1.82,19,10,57.9,2,2,2,1,16.7,2,2,0,0,0.0
Rafał Strączek,POL,GK,24,Bordeaux,Ligue 2,16,16,"1,440",16.0,19,1.19,55,35,67.3,5,4,7,6,37.5,2,1,1,0,50.0
Ralf Fährmann,GER,GK,34,Schalke 04,2. Bundesliga,9,9,810,9.0,19,2.11,38,20,52.6,4,1,4,2,22.2,1,1,0,0,0.0
Ramón,ESP,GK,24,CD Mirandés,Segunda Division,35,35,"3,150",35.0,44,1.26,135,91,69.6,10,12,13,10,28.6,3,3,0,0,0.0
Ramón Pasquel,MEX,GK,27,FC Juárez,Liga MX,1,0,60,0.7,1,1.5,2,1,100.0,0,0,0,0,0.0,1,1,0,0,0.0
Raúl Gudiño,MEX,GK,27,Necaxa,Liga MX,10,10,855,9.5,15,1.58,41,30,65.9,1,5,4,1,10.0,1,1,0,0,0.0
Raúl Lizoain,ESP,GK,33,Cartagena,Segunda Division,19,19,"1,710",19.0,16,0.84,79,63,79.7,9,3,7,9,47.4,0,0,0,0,0.0
Rebollo,ESP,GK,24,Zaragoza,Segunda Division,9,9,810,9.0,10,1.11,29,19,65.5,1,5,3,2,22.2,1,0,0,1,0.0
Ricardo Gutiérrez,MEX,GK,26,Mazatlán,Liga MX,7,5,512,5.7,11,1.93,31,21,71.0,1,2,2,1,20.0,2,2,0,0,0.0
Riccardo Gagno,ITA,GK,26,Modena,Serie B,22,22,"1,927",21.4,24,1.12,67,43,67.2,6,8,8,8,36.4,3,2,1,0,33.3
Riccardo Melgrati,ITA,GK,29,Calcio Lecco 1912,Serie B,23,23,"2,025",22.5,50,2.22,129,79,65.1,5,4,14,2,8.7,5,5,0,0,0.0
Robert Kwasigroch,GER,GK,19,Hertha BSC,2. Bundesliga,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,0.0
Robin Himmelmann,GER,GK,34,Kaiserslautern,2. Bundesliga,3,3,270,3.0,7,2.33,12,5,41.7,0,0,3,0,0.0,0,0,0,0,0.0
Rodolfo Cota,MEX,GK,36,León,Liga MX,32,32,"2,880",32.0,45,1.41,127,83,69.3,12,8,12,7,21.9,6,6,0,0,0.0
Roman Bürki,SUI,GK,32,St. Louis,MLS,33,33,"2,970",33.0,42,1.27,163,123,78.5,17,5,11,8,24.2,7,7,0,0,0.0
