player,nationality,position,age,club,league,MP,starts,mins,minutes_90s,GA,GA90,shotsOT_a,saves,save_pct,W,D,L,CS,CS_pct,PKatt,PK_scored,PK_save,PK_missed,PK_pct
Paulo Gazzaniga,ARG,GK,31,Girona,La Liga,38,38,"3,420",38.0,46,1.21,168,121,75.6,25,6,7,12,31.6,7,5,1,1,16.7
Jan Oblak,SVN,GK,30,Atlético Madrid,La Liga,38,38,"3,420",38.0,43,1.13,144,101,70.8,24,4,10,13,34.2,2,1,0,1,0.0
Unai Simón,ESP,GK,26,Athletic Club,La Liga,36,36,"3,182",35.4,33,0.93,122,90,73.8,18,11,7,16,44.4,5,1,3,1,75.0
Julen Agirrezabala,ESP,GK,22,Athletic Club,La Liga,4,2,238,2.6,4,1.51,12,8,66.7,1,0,1,2,100.0,0,0,0,0,0.0
Alex Remiro,ESP,GK,28,Real Sociedad,La Liga,37,37,"3,275",36.4,36,0.99,130,94,76.2,16,12,9,15,40.5,6,5,1,0,16.7
Unai Marrero,ESP,GK,21,Real Sociedad,La Liga,2,1,142,1.6,3,1.9,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0
Rui Silva,POR,GK,29,Betis,La Liga,28,28,"2,475",27.5,36,1.31,120,85,75.8,10,9,9,9,32.1,8,7,1,0,12.5
Claudio Bravo,CHI,GK,40,Betis,La Liga,7,7,630,7.0,5,0.71,20,16,75.0,3,4,0,2,28.6,0,0,0,0,0.0
Fran Vieites,ESP,GK,24,Betis,La Liga,4,3,315,3.5,4,1.14,18,14,77.8,1,2,0,2,66.7,0,0,0,0,0.0
Filip Jørgensen,DEN,GK,21,Villarreal,La Liga,36,36,"3,240",36.0,63,1.75,205,143,72.2,13,10,13,6,16.7,6,6,0,0,0.0
Pepe Reina,ESP,GK,40,Villarreal,La Liga,2,2,180,2.0,2,1.0,9,7,77.8,1,1,0,0,0.0,0,0,0,0,0.0
Giorgi Mamardashvili,GEO,GK,22,Valencia,La Liga,37,37,"3,284",36.5,41,1.12,145,103,73.8,13,10,14,13,35.1,6,3,3,0,50.0
Jaume Doménech,ESP,GK,32,Valencia,La Liga,2,1,79,0.9,3,3.42,12,9,75.0,0,0,1,0,0.0,0,0,0,0,0.0
Cristian,ESP,GK,25,Valencia,La Liga,1,0,57,0.6,1,1.58,3,2,66.7,0,0,0,0,0.0,0,0,0,0,0.0
Antonio Sivera,ESP,GK,26,Alavés,La Liga,34,34,"3,060",34.0,38,1.12,123,87,75.6,11,8,15,10,29.4,8,8,0,0,0.0
Jesús Owono,EQG,GK,22,Alavés,La Liga,4,4,360,4.0,8,2.0,24,16,66.7,1,2,1,1,25.0,0,0,0,0,0.0
Sergio Herrera,ESP,GK,30,Osasuna,La Liga,32,32,"2,869",31.9,47,1.47,132,84,64.4,12,7,13,9,28.1,1,0,1,0,100.0
Aitor Fernández,ESP,GK,32,Osasuna,La Liga,7,6,551,6.1,9,1.47,20,11,60.0,0,2,4,1,16.7,1,1,0,0,0.0
David Soria,ESP,GK,30,Getafe,La Liga,38,38,"3,413",37.9,52,1.37,171,118,72.5,10,13,15,10,26.3,7,5,1,1,16.7
Daniel Fuzato,BRA,GK,26,Getafe,La Liga,1,0,7,0.1,2,25.71,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
Vicente Guaita,ESP,GK,36,Celta Vigo,La Liga,27,26,"2,403",26.7,39,1.46,120,83,70.8,8,7,11,6,23.1,5,4,0,1,0.0
Iván Villar,ESP,GK,26,Celta Vigo,La Liga,12,12,"1,014",11.3,18,1.6,44,26,63.6,2,4,6,0,0.0,3,2,1,0,33.3
Orjan Nyland,NOR,GK,32,Sevilla,La Liga,24,24,"2,160",24.0,27,1.13,104,78,76.9,8,9,7,6,25.0,3,3,0,0,0.0
Marko Dmitrović,SRB,GK,31,Sevilla,La Liga,13,13,"1,170",13.0,25,1.92,68,44,66.2,2,2,9,2,15.4,2,2,0,0,0.0
Yassine Bounou,MAR,GK,32,Sevilla,La Liga,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,0.0
Predrag Rajković,SRB,GK,27,Mallorca,La Liga,36,36,"3,240",36.0,43,1.19,138,95,71.7,7,15,14,9,25.0,5,4,1,0,20.0
Iván Cuéllar,ESP,GK,39,Mallorca,La Liga,1,1,90,1.0,1,1.0,6,5,83.3,1,0,0,0,0.0,0,0,0,0,0.0
Dominik Greif,SVK,GK,26,Mallorca,La Liga,1,1,90,1.0,0,0.0,4,4,100.0,0,1,0,1,100.0,0,0,0,0,0.0
Alvaro Vallés,ESP,GK,26,Las Palmas,La Liga,37,37,"3,263",36.3,44,1.21,152,108,74.3,10,10,17,8,21.6,9,5,3,1,37.5
Aarón Escandell,ESP,GK,27,Las Palmas,La Liga,2,1,153,1.7,3,1.76,4,1,25.0,0,0,1,0,0.0,0,0,0,0,0.0
Stole Dimitrievski,MKD,GK,29,Rayo Vallecano,La Liga,37,37,"3,330",37.0,47,1.27,150,104,69.3,8,14,15,13,35.1,2,1,1,0,50.0
Cárdenas,ESP,GK,26,Rayo Vallecano,La Liga,1,1,90,1.0,1,1.0,1,0,0.0,0,0,1,0,0.0,0,0,0,0,0.0
Jeremías Ledesma,ARG,GK,30,Cádiz,La Liga,34,34,"3,048",33.9,47,1.39,151,104,70.2,6,12,16,9,26.5,2,2,0,0,0.0
David Gil,ESP,GK,29,Cádiz,La Liga,5,4,372,4.1,8,1.94,24,17,66.7,0,3,1,1,25.0,0,0,0,0,0.0
Luís Maximiano,POR,GK,24,Almería,La Liga,33,33,"2,970",33.0,63,1.91,175,111,66.3,2,11,20,6,18.2,7,4,1,2,20.0
Fernando,ESP,GK,33,Almería,La Liga,4,4,360,4.0,10,2.5,23,13,56.5,1,1,2,0,0.0,0,0,0,0,0.0
Diego Mariño,ESP,GK,33,Almería,La Liga,1,1,90,1.0,2,2.0,4,2,100.0,0,0,1,0,0.0,2,2,0,0,0.0
Augusto Batalla,ARG,GK,27,Granada,La Liga,17,17,"1,530",17.0,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,0.0
André Ferreira,POR,GK,27,Granada,La Liga,15,14,"1,340",14.9,29,1.95,77,49,66.2,0,5,9,0,0.0,3,3,0,0,0.0
Raúl Fernández,ESP,GK,35,Granada,La Liga,4,4,280,3.1,11,3.54,17,7,35.3,1,0,3,0,0.0,1,0,0,1,0.0
Marc Martínez,ESP,GK,33,Granada,La Liga,3,3,270,3.0,11,3.67,23,12,60.9,0,0,3,0,0.0,2,2,0,0,0.0
Gianluigi Donnarumma,ITA,GK,24,Paris S-G,Ligue 1,25,25,"2,169",24.1,20,0.83,110,89,84.5,18,6,1,10,40.0,4,3,1,0,25.0
Arnau Tenas,ESP,GK,22,Paris S-G,Ligue 1,6,5,529,5.9,7,1.19,25,18,72.0,2,2,1,1,20.0,0,0,0,0,0.0
Keylor Navas,CRC,GK,36,Paris S-G,Ligue 1,4,4,360,4.0,6,1.5,12,6,58.3,2,2,0,1,25.0,1,1,0,0,0.0
Philipp Köhn,SUI,GK,25,Monaco,Ligue 1,22,22,"1,980",22.0,32,1.45,97,65,72.2,11,5,6,5,22.7,6,5,1,0,16.7
Radosław Majecki,POL,GK,23,Monaco,Ligue 1,12,12,"1,080",12.0,10,0.83,54,45,81.5,9,2,1,7,58.3,0,0,0,0,0.0
Marco Bizot,NED,GK,32,Brest,Ligue 1,32,32,"2,876",32.0,34,1.06,129,94,75.2,15,10,7,13,40.6,3,2,1,0,33.3
Grégoire Coudert,FRA,GK,24,Brest,Ligue 1,3,2,181,2.0,0,0.0,4,4,100.0,2,0,0,2,100.0,0,0,0,0,0.0
Lucas Chevalier,FRA,GK,21,Lille,Ligue 1,33,33,"2,969",33.0,32,0.97,123,91,76.4,16,10,7,15,45.5,5,3,2,0,40.0
Vito Mannone,ITA,GK,35,Lille,Ligue 1,2,1,91,1.0,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,0,0,0.0
Marcin Bułka,POL,GK,23,Nice,Ligue 1,34,34,"3,060",34.0,29,0.85,105,74,77.1,15,10,9,17,50.0,8,5,3,0,37.5
Anthony Lopes,POR,GK,32,Lyon,Ligue 1,31,31,"2,790",31.0,49,1.58,155,106,71.0,16,4,11,9,29.0,6,4,1,1,20.0
Rémy Riou,FRA,GK,35,Lyon,Ligue 1,3,3,270,3.0,6,2.0,14,8,57.1,0,1,2,1,33.3,0,0,0,0,0.0
Brice Samba,FRA,GK,29,Lens,Ligue 1,33,33,"2,970",33.0,35,1.06,136,101,78.7,14,8,11,14,42.4,8,6,1,1,14.3
Jean-Louis Leca,FRA,GK,37,Lens,Ligue 1,1,1,90,1.0,2,2.0,2,0,0.0,0,1,0,0,0.0,0,0,0,0,0.0
Pau López,ESP,GK,28,Marseille,Ligue 1,33,33,"2,939",32.7,39,1.19,124,86,71.0,13,11,9,7,21.2,3,3,0,0,0.0
Rubén Blanco,ESP,GK,28,Marseille,Ligue 1,2,1,121,1.3,2,1.49,6,4,66.7,0,0,1,0,0.0,0,0,0,0,0.0
Yehvann Diouf,FRA,GK,23,Reims,Ligue 1,34,34,"3,060",34.0,47,1.38,137,90,70.1,13,8,13,8,23.5,7,6,1,0,14.3
Steve Mandanda,FRA,GK,38,Rennes,Ligue 1,34,34,"3,060",34.0,46,1.35,147,104,70.7,12,10,12,7,20.6,3,3,0,0,0.0
Guillaume Restes,FRA,GK,18,Toulouse,Ligue 1,34,34,"3,060",34.0,46,1.35,139,93,69.8,11,10,13,6,17.6,4,4,0,0,0.0
Benjamin Lecomte,FRA,GK,32,Montpellier,Ligue 1,30,30,"2,700",30.0,37,1.23,137,102,75.9,9,11,10,10,33.3,5,4,1,0,20.0
Dimitry Bertaud,COD,GK,25,Montpellier,Ligue 1,4,4,360,4.0,11,2.75,34,23,67.6,1,1,2,0,0.0,0,0,0,0,0.0
Matz Sels,BEL,GK,31,Strasbourg,Ligue 1,19,19,"1,710",19.0,24,1.26,62,40,62.9,6,7,6,3,15.8,1,1,0,0,0.0
Alaa Bellaarouch,MAR,GK,21,Strasbourg,Ligue 1,15,15,"1,350",15.0,26,1.73,63,37,63.5,4,2,9,2,13.3,4,3,1,0,25.0
Alban Lafont,FRA,GK,24,Nantes,Ligue 1,28,28,"2,496",27.7,43,1.55,118,75,70.3,7,4,17,7,25.0,8,8,0,0,0.0
Rémy Descamps,FRA,GK,27,Nantes,Ligue 1,6,6,540,6.0,11,1.83,37,26,73.0,2,2,2,1,16.7,2,1,0,1,0.0
Denis Petrić,SRB,GK,35,Nantes,Ligue 1,1,0,24,0.3,1,3.75,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
Arthur Desmas,FRA,GK,29,Le Havre,Ligue 1,33,33,"2,970",33.0,43,1.3,153,111,72.5,7,11,15,7,21.2,3,1,1,1,50.0
Mathieu Gorgelin,FRA,GK,32,Le Havre,Ligue 1,1,1,90,1.0,2,2.0,5,3,80.0,0,0,1,0,0.0,1,1,0,0,0.0
Alexandre Oukidja,ALG,GK,35,Metz,Ligue 1,34,34,"2,987",33.2,57,1.72,185,128,72.4,8,5,21,6,17.6,6,6,0,0,0.0
Guillaume Dietsch,FRA,GK,22,Metz,Ligue 1,1,0,73,0.8,1,1.23,3,2,66.7,0,0,0,0,0.0,0,0,0,0,0.0
Yvon Mvogo,SUI,GK,29,Lorient,Ligue 1,34,34,"3,060",34.0,66,1.94,207,142,72.0,7,8,19,4,11.8,8,8,0,0,0.0
Mory Diaw,SEN,GK,30,Clermont Foot,Ligue 1,30,30,"2,700",30.0,54,1.8,188,134,74.5,4,8,18,5,16.7,8,6,1,1,14.3
Massamba Ndiaye,SEN,GK,21,Clermont Foot,Ligue 1,4,4,360,4.0,6,1.5,24,18,79.2,1,2,1,0,0.0,1,1,0,0,0.0
Ederson,BRA,GK,29,Manchester City,Premier League,33,33,"2,785",30.9,27,0.87,82,56,70.7,24,6,3,10,30.3,3,3,0,0,0.0
Stefan Ortega,GER,GK,30,Manchester City,Premier League,9,5,635,7.1,7,0.99,27,20,74.1,4,1,0,3,60.0,0,0,0,0,0.0
David Raya,ESP,GK,27,Arsenal,Premier League,32,32,"2,880",32.0,24,0.75,69,45,68.1,23,4,5,16,50.0,3,2,1,0,33.3
Aaron Ramsdale,ENG,GK,25,Arsenal,Premier League,6,6,540,6.0,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,0.0
Alisson,BRA,GK,30,Liverpool,Premier League,28,28,"2,520",28.0,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0.0
Caoimhín Kelleher,IRL,GK,24,Liverpool,Premier League,10,10,900,10.0,11,1.1,38,28,71.1,8,2,0,2,20.0,0,0,0,0,0.0
Emiliano Martínez,ARG,GK,30,Aston Villa,Premier League,34,34,"3,015",33.5,48,1.43,139,95,66.2,19,8,7,8,23.5,1,1,0,0,0.0
Robin Olsen,SWE,GK,33,Aston Villa,Premier League,5,4,405,4.5,13,2.89,34,20,61.8,1,0,3,0,0.0,1,0,1,0,100.0
Guglielmo Vicario,ITA,GK,26,Tottenham,Premier League,38,38,"3,420",38.0,61,1.61,167,109,67.7,20,6,12,7,18.4,7,7,0,0,0.0
Dorđe Petrović,SRB,GK,23,Chelsea,Premier League,23,22,"1,987",22.1,38,1.72,108,73,65.7,13,5,4,5,22.7,2,1,0,1,0.0
Robert Sánchez,ESP,GK,25,Chelsea,Premier League,16,16,"1,433",15.9,25,1.57,78,52,70.5,5,4,7,3,18.8,3,2,1,0,33.3
Martin Dúbravka,SVK,GK,34,Newcastle Utd,Premier League,23,22,"1,985",22.1,42,1.9,130,87,70.8,9,4,9,5,22.7,5,4,1,0,20.0
Nick Pope,ENG,GK,31,Newcastle Utd,Premier League,15,15,"1,345",14.9,16,1.07,58,42,72.4,9,2,4,5,33.3,0,0,0,0,0.0
Loris Karius,GER,GK,30,Newcastle Utd,Premier League,1,1,90,1.0,4,4.0,7,4,42.9,0,0,1,0,0.0,0,0,0,0,0.0
André Onana,CMR,GK,27,Manchester Utd,Premier League,38,38,"3,420",38.0,58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0.0
Alphonse Areola,FRA,GK,30,West Ham,Premier League,31,31,"2,699",30.0,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6
Lukasz Fabiański,POL,GK,38,West Ham,Premier League,10,7,721,8.0,21,2.62,53,33,66.0,3,1,3,1,14.3,3,3,0,0,0.0
Sam Johnstone,ENG,GK,30,Crystal Palace,Premier League,20,20,"1,796",20.0,27,1.35,67,41,62.7,5,6,9,6,30.0,2,2,0,0,0.0
Dean Henderson,ENG,GK,26,Crystal Palace,Premier League,18,18,"1,620",18.0,30,1.67,86,57,66.3,8,4,6,4,22.2,1,1,0,0,0.0
Remi Matthews,ENG,GK,29,Crystal Palace,Premier League,1,0,4,0.0,1,22.5,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
Bart Verbruggen,NED,GK,20,Brighton,Premier League,21,21,"1,890",21.0,28,1.33,91,63,72.5,7,8,6,4,19.0,3,3,0,0,0.0
Jason Steele,ENG,GK,32,Brighton,Premier League,17,17,"1,530",17.0,34,2.0,74,42,58.1,5,4,8,2,11.8,3,3,0,0,0.0
Neto,BRA,GK,34,Bournemouth,Premier League,32,32,"2,880",32.0,55,1.72,165,110,69.7,10,9,13,7,21.9,6,5,1,0,16.7
Mark Travers,IRL,GK,24,Bournemouth,Premier League,4,4,360,4.0,5,1.25,18,13,77.8,2,0,2,2,50.0,1,1,0,0,0.0
Ionuț Radu,ROU,GK,26,Bournemouth,Premier League,2,2,180,2.0,7,3.5,11,4,36.4,1,0,1,0,0.0,0,0,0,0,0.0
Bernd Leno,GER,GK,31,Fulham,Premier League,38,38,"3,420",38.0,61,1.61,190,133,72.1,13,8,17,10,26.3,8,8,0,0,0.0
José Sá,POR,GK,30,Wolves,Premier League,35,35,"3,037",33.7,58,1.72,188,131,73.4,12,7,16,4,11.4,8,8,0,0,0.0
Daniel Bentley,ENG,GK,30,Wolves,Premier League,5,3,383,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,0.0
Jordan Pickford,ENG,GK,29,Everton,Premier League,38,38,"3,420",38.0,51,1.34,165,117,73.9,13,9,16,13,34.2,8,8,0,0,0.0
Mark Flekken,NED,GK,30,Brentford,Premier League,37,37,"3,285",36.5,63,1.73,176,113,65.3,10,9,18,7,18.9,2,2,0,0,0.0
Thomas Strakosha,ALB,GK,28,Brentford,Premier League,2,1,135,1.5,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,0.0
Matt Turner,USA,GK,29,Nott'ham Forest,Premier League,17,17,"1,530",17.0,28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0.0
Matz Sels,BEL,GK,31,Nott'ham Forest,Premier League,16,16,"1,440",16.0,27,1.69,61,36,57.4,4,4,8,1,6.3,1,1,0,0,0.0
Odisseas Vlachodimos,GRE,GK,29,Nott'ham Forest,Premier League,5,5,450,5.0,12,2.4,22,10,50.0,1,0,4,1,20.0,1,1,0,0,0.0
Thomas Kaminski,BEL,GK,30,Luton Town,Premier League,38,38,"3,405",37.8,85,2.25,221,140,63.3,6,8,24,2,5.3,4,4,0,0,0.0
James Shea,ENG,GK,32,Luton Town,Premier League,1,0,15,0.2,0,0.0,2,2,100.0,0,0,0,0,0.0,0,0,0,0,0.0
James Trafford,ENG,GK,20,Burnley,Premier League,28,28,"2,520",28.0,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0.0
Arijanet Muric,KVX,GK,24,Burnley,Premier League,10,10,900,10.0,16,1.6,78,62,80.8,2,4,4,0,0.0,2,1,1,0,50.0
Wes Foderingham,ENG,GK,32,Sheffield Utd,Premier League,30,29,"2,649",29.4,79,2.68,204,130,63.7,3,4,22,1,3.4,6,5,0,1,0.0
Ivo Grbić,CRO,GK,27,Sheffield Utd,Premier League,9,9,771,8.6,25,2.92,59,36,57.6,0,3,6,0,0.0,1,0,0,1,0.0
Simon Mignolet,BEL,GK,35,Club Brugge,Pro League,28,28,"2,439",27.1,26,0.96,86,60,69.8,12,9,7,9,32.1,1,0,0,1,0.0
Nordin Jackers,BEL,GK,25,Club Brugge,Pro League,3,2,261,2.9,3,1.03,12,9,75.0,2,0,0,1,50.0,2,0,0,2,0.0
Anthony Moris,LUX,GK,33,Union SG,Pro League,29,29,"2,588",28.8,30,1.04,87,57,69.0,20,7,2,8,27.6,3,3,0,0,0.0
Heinz Lindner,AUT,GK,33,Union SG,Pro League,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,0.0
Joachim Imbrechts,SWE,GK,21,Union SG,Pro League,1,0,21,0.2,0,0.0,1,1,100.0,0,0,0,0,0.0,0,0,0,0,0.0
Kasper Schmeichel,DEN,GK,36,Anderlecht,Pro League,23,23,"2,070",23.0,23,1.0,110,86,80.0,14,7,2,5,21.7,2,1,1,0,50.0
Maxime Dupé,FRA,GK,30,Anderlecht,Pro League,7,7,630,7.0,7,1.0,24,17,79.2,4,2,1,2,28.6,2,2,0,0,0.0
Warleson,BRA,GK,26,Cercle Brugge,Pro League,30,30,"2,700",30.0,34,1.13,123,90,72.4,14,5,11,11,36.7,1,0,1,0,100.0
Maarten Vandevoordt,BEL,GK,21,Genk,Pro League,30,30,"2,700",30.0,31,1.03,116,84,75.0,12,11,7,10,33.3,3,2,1,0,33.3
Jean Butez,FRA,GK,28,Antwerp,Pro League,30,30,"2,700",30.0,27,0.9,97,71,77.3,14,10,6,12,40.0,5,5,0,0,0.0
Davy Roef,BEL,GK,29,Gent,Pro League,12,12,"1,080",12.0,9,0.75,42,30,85.7,7,4,1,5,41.7,6,3,3,0,50.0
Paul Nardi,FRA,GK,29,Gent,Pro League,10,10,900,10.0,12,1.2,42,30,73.8,4,5,1,1,10.0,1,1,0,0,0.0
Daniel Schmidt,JPN,GK,31,Gent,Pro League,8,8,720,8.0,17,2.12,38,21,65.8,1,2,5,1,12.5,4,4,0,0,0.0
Gaëtan Coucke,BEL,GK,24,Mechelen,Pro League,30,30,"2,700",30.0,34,1.13,124,90,73.4,13,6,11,10,33.3,4,1,1,2,50.0
Zion Suzuki,JPN,GK,20,Sint-Truiden,Pro League,22,22,"1,980",22.0,35,1.59,100,65,70.0,7,8,7,5,22.7,5,5,0,0,0.0
Jo Coppens,BEL,GK,32,Sint-Truiden,Pro League,4,4,360,4.0,8,2.0,14,6,42.9,1,1,2,0,0.0,0,0,0,0,0.0
Daniel Schmidt,JPN,GK,31,Sint-Truiden,Pro League,4,4,360,4.0,3,0.75,12,9,75.0,2,1,1,2,50.0,0,0,0,0,0.0
Tobe Leysen,BEL,GK,21,OH Leuven,Pro League,16,16,"1,440",16.0,18,1.13,78,62,78.2,4,5,7,5,31.3,1,1,0,0,0.0
Maxence Prevot,FRA,GK,26,OH Leuven,Pro League,11,11,990,11.0,21,1.91,56,34,66.1,3,2,6,2,18.2,3,2,1,0,33.3
Valentin Cojocaru,ROU,GK,27,OH Leuven,Pro League,3,3,270,3.0,8,2.67,15,7,73.3,0,1,2,0,0.0,4,4,0,0,0.0
Sinan Bolat,TUR,GK,34,Westerlo,Pro League,26,26,"2,340",26.0,44,1.69,132,89,68.9,7,9,10,5,19.2,3,3,0,0,0.0
Nick Gillekens,BEL,GK,28,Westerlo,Pro League,4,4,360,4.0,10,2.5,23,14,56.5,0,0,4,0,0.0,0,0,0,0,0.0
Arnaud Bodart,BEL,GK,25,Standard Liège,Pro League,29,29,"2,610",29.0,35,1.21,134,98,77.6,8,10,11,5,17.2,6,5,1,0,16.7
Laurent Henkinet,BEL,GK,30,Standard Liège,Pro League,1,1,90,1.0,6,6.0,9,3,44.4,0,0,1,0,0.0,1,1,0,0,0.0
Hervé Koffi,BFA,GK,26,Charleroi,Pro League,26,26,"2,339",26.0,39,1.5,129,91,73.6,6,8,12,7,26.9,5,5,0,0,0.0
Pierre Patron,FRA,GK,25,Charleroi,Pro League,4,4,360,4.0,9,2.25,21,12,57.1,1,0,3,1,25.0,0,0,0,0,0.0
Martin Delavallée,BEL,GK,19,Charleroi,Pro League,1,0,1,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
Tom Vandenberghe,BEL,GK,30,Kortrijk,Pro League,21,21,"1,890",21.0,47,2.24,126,82,63.5,2,4,15,1,4.8,2,1,0,1,0.0
Lucas Pirard,BEL,GK,28,Kortrijk,Pro League,9,9,810,9.0,10,1.11,42,33,76.2,4,2,3,4,44.4,0,0,0,0,0.0
Théo Defourny,BEL,GK,31,RWD Molenbeek,Pro League,30,30,"2,679",29.8,66,2.22,178,110,69.7,5,8,17,4,13.3,15,12,3,0,20.0
Guillaume Hubert,BEL,GK,29,RWD Molenbeek,Pro League,1,0,17,0.2,1,5.29,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
Gaga Slonina,USA,GK,19,Eupen,Pro League,28,28,"2,520",28.0,56,2.0,159,106,66.7,6,2,20,4,14.3,5,3,1,1,25.0
Manaf Nurudeen,GHA,GK,24,Eupen,Pro League,2,2,180,2.0,2,1.0,8,6,87.5,1,1,0,1,50.0,1,1,0,0,0.0
Antonio Adán,ESP,GK,36,Sporting CP,Primeira Liga,22,22,"1,980",22.0,22,1.0,55,33,67.3,18,2,2,9,40.9,4,4,0,0,0.0
Franco Israel,URU,GK,23,Sporting CP,Primeira Liga,10,10,900,10.0,7,0.7,23,16,69.6,9,1,0,5,50.0,0,0,0,0,0.0
Diogo Pinto,POR,GK,19,Sporting CP,Primeira Liga,2,2,171,1.9,0,0.0,1,1,100.0,2,0,0,1,50.0,0,0,0,0,0.0
Francisco Silva,POR,GK,17,Sporting CP,Primeira Liga,1,0,9,0.1,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0
Anatolii Trubin,UKR,GK,21,Benfica,Primeira Liga,28,28,"2,520",28.0,22,0.79,98,73,79.6,21,4,3,13,46.4,5,2,3,0,60.0
Samuel Soares,POR,GK,21,Benfica,Primeira Liga,5,5,450,5.0,3,0.6,11,8,81.8,4,1,0,3,60.0,1,1,0,0,0.0
Odisseas Vlachodimos,GRE,GK,29,Benfica,Primeira Liga,1,1,90,1.0,3,3.0,4,1,50.0,0,0,1,0,0.0,1,1,0,0,0.0
Diogo Costa,POR,GK,23,Porto,Primeira Liga,33,33,"2,944",32.7,25,0.76,77,53,72.7,21,6,6,13,39.4,6,4,1,1,20.0
Cláudio Ramos,POR,GK,31,Porto,Primeira Liga,2,1,114,1.3,2,1.58,4,2,50.0,1,0,0,0,0.0,0,0,0,0,0.0
Matheus,BRA,GK,31,Braga,Primeira Liga,34,34,"3,060",34.0,50,1.47,127,79,65.4,21,5,8,6,17.6,7,6,0,1,0.0
