player,nationality,position,age,club,league,minutes_90s,p_tackled,tklw,def_3rd,mid_3rd,att_3rd,d_tackled,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,intr,tkl_intr,clr,err
Tiago Djaló,POR,DF,24,Juventus,Serie A,0.2,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,1,0
Dean Huijsen,ESP,DF,19,Juventus,Serie A,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Nikola Sekulov,ITA,FW,22,Juventus,Serie A,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Leonardo Cerri,ITA,DF,21,Juventus,Serie A,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Berat Djimsiti,ALB,DF,31,Atalanta,Serie A,31.3,42,24,29,12,1,19,31,61.3,12,53,33,20,57,99,99,0
Ederson,BRA,MF,24,Atalanta,Serie A,30.9,80,46,37,36,7,43,62,69.4,19,47,8,39,40,120,33,1
Giorgio Scalvini,ITA,DF,20,Atalanta,Serie A,27.3,52,32,29,18,5,19,39,48.7,20,43,17,26,57,109,70,0
Marten de Roon,NED,"MF,DF",33,Atalanta,Serie A,28.9,80,43,36,32,12,35,82,42.7,47,36,10,26,40,120,54,0
Teun Koopmeiners,NED,MF,26,Atalanta,Serie A,28.2,39,24,12,22,5,17,50,34.0,33,33,3,30,10,49,34,0
Matteo Ruggeri,ITA,DF,21,Atalanta,Serie A,26.2,27,14,13,7,7,14,28,50.0,14,42,3,39,22,49,42,0
Marco Carnesecchi,ITA,GK,23,Atalanta,Serie A,25.9,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,20,3
Sead Kolašinac,BIH,DF,30,Atalanta,Serie A,24.2,44,32,23,19,2,30,49,61.2,19,22,9,13,21,65,47,0
Charles De Ketelaere,BEL,"FW,MF",23,Atalanta,Serie A,21.7,31,20,3,12,16,8,18,44.4,10,29,2,27,7,38,6,0
Davide Zappacosta,ITA,DF,31,Atalanta,Serie A,20.7,30,20,15,10,5,16,34,47.1,18,29,4,25,5,35,19,0
Mario Pašalić,CRO,"MF,FW",29,Atalanta,Serie A,21.8,28,17,9,18,1,14,31,45.2,17,28,6,22,16,44,34,0
Ademola Lookman,NGA,"FW,MF",26,Atalanta,Serie A,20.4,18,13,2,9,7,8,22,36.4,14,18,0,18,9,27,0,1
Gianluca Scamacca,ITA,FW,25,Atalanta,Serie A,15.8,15,9,4,5,6,7,14,50.0,7,7,1,6,4,19,8,0
Aleksei Miranchuk,RUS,"MF,FW",28,Atalanta,Serie A,12.7,12,6,6,4,2,5,13,38.5,8,6,1,5,2,14,5,1
Juan Musso,ARG,GK,30,Atalanta,Serie A,11.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,6,0
Emil Holm,SWE,DF,24,Atalanta,Serie A,9.9,26,17,17,7,2,15,35,42.9,20,24,3,21,7,33,25,0
Hans Hateboer,NED,DF,30,Atalanta,Serie A,12.3,12,5,8,2,2,5,15,33.3,10,21,7,14,4,16,21,0
Rafael Tolói,ITA,DF,33,Atalanta,Serie A,9.9,19,8,6,8,5,13,26,50.0,13,8,4,4,13,32,27,0
Isak Hien,SWE,DF,25,Atalanta,Serie A,9.4,18,12,8,10,0,7,14,50.0,7,11,5,6,11,29,29,0
Mitchel Bakker,NED,DF,23,Atalanta,Serie A,4.2,7,3,6,1,0,2,12,16.7,10,5,0,5,3,10,6,0
El Bilal Touré,MLI,FW,22,Atalanta,Serie A,4.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,2,0
Luis Muriel,COL,"FW,MF",33,Atalanta,Serie A,4.5,3,2,0,2,1,1,1,100.0,0,4,0,4,1,4,0,0
Duván Zapata,COL,FW,33,Atalanta,Serie A,1.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Giovanni Bonfanti,ITA,DF,21,Atalanta,Serie A,1.0,4,2,2,2,0,2,3,66.7,1,1,1,0,1,5,1,0
Nadir Zortea,ITA,DF,24,Atalanta,Serie A,1.7,5,4,3,1,1,1,4,25.0,3,2,0,2,1,6,3,0
Michel Ndary Adopo,FRA,MF,23,Atalanta,Serie A,1.2,4,3,0,3,1,1,1,100.0,0,0,0,0,0,4,2,1
José Luis Palomino,ARG,DF,34,Atalanta,Serie A,0.3,2,1,1,1,0,1,1,100.0,0,2,1,1,1,3,6,0
Francesco Rossi,ITA,GK,33,Atalanta,Serie A,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Leonardo Mendicino,ITA,MF,17,Atalanta,Serie A,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Lukasz Skorupski,POL,GK,33,Bologna,Serie A,32.0,2,2,2,0,0,2,3,66.7,1,0,0,0,1,3,11,3
Joshua Zirkzee,NED,FW,23,Bologna,Serie A,30.7,32,20,8,15,9,13,24,54.2,11,25,2,23,3,35,36,0
