player,nationality,position,age,club,league,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Marten de Roon,NED,"MF,DF",33,Atalanta,Serie A,28.9,54,1.87,43,5,0,2,2,2,7,0.24,7,0,0,0,0,0
Teun Koopmeiners,NED,MF,26,Atalanta,Serie A,28.2,117,4.15,87,21,6,2,1,0,12,0.43,11,1,0,0,0,0
Matteo Ruggeri,ITA,DF,21,Atalanta,Serie A,26.2,63,2.4,55,4,2,1,0,1,11,0.42,9,2,0,0,0,0
Marco Carnesecchi,ITA,GK,23,Atalanta,Serie A,25.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sead Kolašinac,BIH,DF,30,Atalanta,Serie A,24.2,24,0.99,18,0,3,2,1,0,1,0.04,1,0,0,0,0,0
Charles De Ketelaere,BEL,"FW,MF",23,Atalanta,Serie A,21.7,89,4.1,67,2,7,2,8,3,9,0.41,9,0,0,0,0,0
Davide Zappacosta,ITA,DF,31,Atalanta,Serie A,20.7,49,2.36,30,4,4,11,0,0,6,0.29,3,1,0,2,0,0
Mario Pašalić,CRO,"MF,FW",29,Atalanta,Serie A,21.8,61,2.8,51,2,2,5,1,0,12,0.55,9,1,0,1,1,0
Ademola Lookman,NGA,"FW,MF",26,Atalanta,Serie A,20.4,99,4.85,63,10,16,4,4,2,13,0.64,8,1,2,1,1,0
Gianluca Scamacca,ITA,FW,25,Atalanta,Serie A,15.8,59,3.74,53,0,1,2,2,1,12,0.76,11,0,0,0,1,0
Aleksei Miranchuk,RUS,"MF,FW",28,Atalanta,Serie A,12.7,79,6.22,55,16,1,4,3,0,10,0.79,6,2,0,2,0,0
Juan Musso,ARG,GK,30,Atalanta,Serie A,11.0,1,0.09,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Emil Holm,SWE,DF,24,Atalanta,Serie A,9.9,19,1.92,10,3,1,3,2,0,4,0.4,1,1,0,0,2,0
Hans Hateboer,NED,DF,30,Atalanta,Serie A,12.3,32,2.6,28,0,2,1,0,1,3,0.24,3,0,0,0,0,0
Rafael Tolói,ITA,DF,33,Atalanta,Serie A,9.9,6,0.61,5,0,0,0,0,1,1,0.1,0,0,0,0,0,1
Isak Hien,SWE,DF,25,Atalanta,Serie A,9.4,4,0.43,4,0,0,0,0,0,1,0.11,1,0,0,0,0,0
Mitchel Bakker,NED,DF,23,Atalanta,Serie A,4.2,4,0.95,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
El Bilal Touré,MLI,FW,22,Atalanta,Serie A,4.2,9,2.15,7,0,0,1,1,0,3,0.72,2,0,0,0,1,0
Luis Muriel,COL,"FW,MF",33,Atalanta,Serie A,4.5,29,6.38,14,6,1,4,4,0,2,0.44,2,0,0,0,0,0
Duván Zapata,COL,FW,33,Atalanta,Serie A,1.2,4,3.21,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Giovanni Bonfanti,ITA,DF,21,Atalanta,Serie A,1.0,1,1.01,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nadir Zortea,ITA,DF,24,Atalanta,Serie A,1.7,10,6.04,6,1,1,1,1,0,2,1.21,2,0,0,0,0,0
Michel Ndary Adopo,FRA,MF,23,Atalanta,Serie A,1.2,5,4.09,4,0,0,1,0,0,1,0.82,1,0,0,0,0,0
José Luis Palomino,ARG,DF,34,Atalanta,Serie A,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Francesco Rossi,ITA,GK,33,Atalanta,Serie A,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Leonardo Mendicino,ITA,MF,17,Atalanta,Serie A,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lukasz Skorupski,POL,GK,33,Bologna,Serie A,32.0,2,0.06,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Joshua Zirkzee,NED,FW,23,Bologna,Serie A,30.7,97,3.17,70,0,16,9,2,0,10,0.33,6,0,2,2,0,0
Lewis Ferguson,SCO,MF,24,Bologna,Serie A,30.1,83,2.75,67,2,2,5,6,1,9,0.3,6,0,1,0,2,0
Remo Freuler,SUI,MF,32,Bologna,Serie A,29.2,56,1.92,50,2,1,1,1,1,5,0.17,4,0,0,1,0,0
Sam Beukema,NED,DF,25,Bologna,Serie A,28.3,21,0.74,19,0,0,2,0,0,1,0.04,1,0,0,0,0,0
Stefan Posch,AUT,DF,27,Bologna,Serie A,26.8,44,1.64,36,5,1,2,0,0,4,0.15,3,0,0,1,0,0
Riccardo Calafiori,ITA,DF,22,Bologna,Serie A,26.1,46,1.77,36,0,2,5,0,3,8,0.31,5,0,0,3,0,0
Victor Bernth Kristiansen,DEN,DF,21,Bologna,Serie A,25.6,43,1.68,37,1,2,2,1,0,7,0.27,5,0,0,1,1,0
Michel Aebischer,SUI,MF,27,Bologna,Serie A,24.8,40,1.61,32,2,2,2,2,0,1,0.04,1,0,0,0,0,0
Jhon Lucumí,COL,DF,25,Bologna,Serie A,24.6,20,0.81,17,0,1,2,0,0,1,0.04,0,0,0,1,0,0
Alexis Saelemaekers,BEL,"FW,MF",24,Bologna,Serie A,21.0,85,4.06,52,18,6,5,4,0,10,0.48,6,0,1,1,2,0
Dan Ndoye,SUI,"FW,MF",23,Bologna,Serie A,19.7,62,3.15,39,1,9,6,6,1,3,0.15,2,0,0,1,0,0
Riccardo Orsolini,ITA,"FW,MF",27,Bologna,Serie A,19.9,84,4.22,51,18,8,3,4,0,7,0.35,2,1,2,1,1,0
Giovanni Fabbian,ITA,"MF,FW",21,Bologna,Serie A,11.7,23,1.96,18,0,1,3,0,1,2,0.17,1,0,1,0,0,0
Charalambos Lykogiannis,GRE,DF,30,Bologna,Serie A,10.0,19,1.89,13,4,1,1,0,0,3,0.3,2,0,1,0,0,0
Nikola Moro,CRO,MF,26,Bologna,Serie A,9.3,22,2.35,16,1,2,0,1,2,2,0.21,2,0,0,0,0,0
Kacper Urbanski,POL,"MF,FW",19,Bologna,Serie A,10.3,35,3.4,24,5,3,3,0,0,1,0.1,0,0,0,1,0,0
Lorenzo De Silvestri,ITA,DF,36,Bologna,Serie A,7.5,4,0.53,4,0,0,0,0,0,1,0.13,1,0,0,0,0,0
Federico Ravaglia,ITA,GK,24,Bologna,Serie A,5.9,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Oussama El Azzouzi,MAR,MF,23,Bologna,Serie A,6.1,10,1.65,8,1,0,0,1,0,3,0.49,3,0,0,0,0,0
Jens Odgaard,DEN,"FW,MF",25,Bologna,Serie A,4.8,8,1.67,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Jesper Karlsson,SWE,FW,25,Bologna,Serie A,3.8,11,2.88,7,3,0,1,0,0,0,0.0,0,0,0,0,0,0
Santiago Castro,ARG,FW,19,Bologna,Serie A,2.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sydney van Hooijdonk,NED,FW,24,Bologna,Serie A,2.4,2,0.85,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tommaso Corazza,ITA,DF,19,Bologna,Serie A,2.2,3,1.38,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Nicolás Domínguez,ARG,MF,25,Bologna,Serie A,1.1,2,1.78,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kevin Bonifazi,ITA,DF,28,Bologna,Serie A,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nicola Bagnolini,ITA,GK,20,Bologna,Serie A,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Bryan Cristante,ITA,"MF,DF",29,Roma,Serie A,36.5,82,2.24,69,0,0,9,4,0,16,0.44,9,0,0,6,1,0
Gianluca Mancini,ITA,DF,28,Roma,Serie A,31.9,28,0.88,23,0,1,2,1,1,1,0.03,1,0,0,0,0,0
Leandro Paredes,ARG,MF,29,Roma,Serie A,29.3,80,2.73,51,20,1,3,3,2,9,0.31,4,3,0,1,1,0
Romelu Lukaku,BEL,FW,31,Roma,Serie A,29.3,67,2.28,56,0,3,6,1,1,9,0.31,8,0,1,0,0,0
Diego Llorente,ESP,DF,30,Roma,Serie A,24.1,22,0.91,19,0,0,2,1,0,2,0.08,2,0,0,0,0,0
Obite N'Dicka,CIV,DF,24,Roma,Serie A,24.1,23,0.95,20,1,0,1,1,0,3,0.12,2,0,0,1,0,0
Paulo Dybala,ARG,"FW,MF",30,Roma,Serie A,21.8,95,4.36,56,25,3,4,6,1,19,0.87,12,4,2,0,1,0
Rui Patrício,POR,GK,36,Roma,Serie A,23.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lorenzo Pellegrini,ITA,MF,27,Roma,Serie A,20.7,69,3.34,40,17,3,4,4,1,9,0.44,4,1,1,1,2,0
Rasmus Kristensen,DEN,DF,26,Roma,Serie A,19.4,28,1.44,21,3,3,0,1,0,3,0.15,2,0,0,0,1,0
Stephan El Shaarawy,ITA,"FW,DF",31,Roma,Serie A,19.3,53,2.74,35,1,3,8,4,2,7,0.36,5,0,1,1,0,0
Edoardo Bove,ITA,MF,22,Roma,Serie A,19.8,40,2.02,34,0,1,0,5,0,2,0.1,2,0,0,0,0,0
Mile Svilar,SRB,GK,24,Roma,Serie A,15.0,3,0.2,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Leonardo Spinazzola,ITA,DF,31,Roma,Serie A,14.6,44,3.02,39,1,3,1,0,0,4,0.27,3,0,1,0,0,0
Rick Karsdorp,NED,DF,29,Roma,Serie A,13.2,22,1.64,20,1,0,0,1,0,3,0.22,2,0,0,0,1,0
Angeliño,ESP,DF,27,Roma,Serie A,12.7,33,2.6,30,2,0,1,0,0,3,0.24,3,0,0,0,0,0
Nicola Zalewski,POL,"DF,FW",22,Roma,Serie A,10.8,37,3.44,23,2,5,3,4,0,3,0.28,2,0,0,1,0,0
Houssem Aouar,ALG,"MF,FW",25,Roma,Serie A,8.4,21,2.5,12,4,1,2,2,0,0,0.0,0,0,0,0,0,0
Andrea Belotti,ITA,FW,30,Roma,Serie A,7.5,23,3.05,11,0,3,3,5,1,6,0.8,3,0,2,1,0,0
Zeki Çelik,TUR,DF,27,Roma,Serie A,7.5,19,2.54,15,1,1,0,0,2,0,0.0,0,0,0,0,0,0
Tommaso Baldanzi,ITA,"FW,MF",21,Roma,Serie A,5.8,23,4.0,12,0,4,3,4,0,1,0.17,0,0,0,1,0,0
Dean Huijsen,ESP,DF,19,Roma,Serie A,5.7,8,1.41,4,0,1,2,1,0,4,0.71,1,0,1,1,1,0
Chris Smalling,ENG,DF,34,Roma,Serie A,4.3,3,0.69,2,0,0,1,0,0,1,0.23,1,0,0,0,0,0
Sardar Azmoun,IRN,"FW,MF",29,Roma,Serie A,6.5,18,2.77,10,0,1,5,2,0,5,0.77,1,0,0,2,2,0
Tammy Abraham,ENG,FW,26,Roma,Serie A,2.7,3,1.12,1,0,0,0,1,1,1,0.37,0,0,0,0,1,0
Renato Sanches,POR,MF,26,Roma,Serie A,1.6,6,3.7,6,0,0,0,0,0,1,0.62,1,0,0,0,0,0
Riccardo Pagano,ITA,"MF,DF",19,Roma,Serie A,0.6,5,8.82,2,1,1,1,0,0,0,0.0,0,0,0,0,0,0
Ola Solbakken,NOR,FW,25,Roma,Serie A,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
João Costa,BRA,"MF,FW",19,Roma,Serie A,0.2,2,12.86,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Niccolò Pisilli,ITA,MF,19,Roma,Serie A,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adam Marušić,MNE,DF,31,Lazio,Serie A,34.4,34,0.99,29,1,2,1,1,0,2,0.06,2,0,0,0,0,0
Felipe Anderson,BRA,"FW,MF",31,Lazio,Serie A,30.8,92,2.99,76,2,4,5,2,3,12,0.39,10,0,1,0,0,1
