player,nationality,position,age,club,league,minutes_90s,goals,shots,SOTs,SOTs_pct,shots_per90,SOT_per90,goals_per_shot,goals_per_SOT,avg_shot_dist,shots_fk,pens_scored,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Jackson Tchatchoua,CMR,DF,22,Hellas Verona,Serie A,19.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Suat Serdar,GER,MF,27,Hellas Verona,Serie A,18.4,0,22,7,31.8,1.19,0.38,0.0,0.0,22.4,0,0,0,1.0,1.0,0.05,-1.0,-1.0
Diego Coppola,ITA,DF,20,Hellas Verona,Serie A,18.2,2,13,3,23.1,0.72,0.17,0.15,0.67,8.3,0,0,0,1.2,1.2,0.09,0.8,0.8
Juan David Cabal,COL,DF,23,Hellas Verona,Serie A,16.6,0,12,3,25.0,0.72,0.18,0.0,0.0,17.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Cyril Ngonge,BEL,"FW,MF",24,Hellas Verona,Serie A,15.9,6,42,14,33.3,2.64,0.88,0.14,0.43,18.2,4,0,0,4.2,3.4,0.08,1.8,2.6
Tijjani Noslin,NED,"FW,MF",24,Hellas Verona,Serie A,14.9,5,36,15,41.7,2.42,1.01,0.14,0.33,17.4,0,0,0,3.6,3.6,0.1,1.4,1.4
Filippo Terracciano,ITA,DF,21,Hellas Verona,Serie A,14.4,0,8,3,37.5,0.56,0.21,0.0,0.0,21.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Milan Đurić,BIH,FW,34,Hellas Verona,Serie A,13.4,5,22,13,59.1,1.64,0.97,0.18,0.31,12.5,0,1,3,4.5,2.2,0.1,0.5,1.8
Martin Hongla,CMR,MF,26,Hellas Verona,Serie A,12.0,0,3,0,0.0,0.25,0.0,0.0,0.0,23.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Josh Doig,SCO,DF,22,Hellas Verona,Serie A,9.2,0,5,1,20.0,0.54,0.11,0.0,0.0,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Federico Bonazzoli,ITA,"FW,MF",27,Hellas Verona,Serie A,11.3,3,27,13,48.1,2.39,1.15,0.11,0.23,18.6,0,0,0,2.9,2.9,0.11,0.1,0.1
Isak Hien,SWE,DF,25,Hellas Verona,Serie A,9.6,0,4,1,25.0,0.42,0.1,0.0,0.0,9.0,0,0,0,0.4,0.4,0.11,-0.4,-0.4
Fabien Centonze,FRA,DF,28,Hellas Verona,Serie A,7.5,0,1,0,0.0,0.13,0.0,0.0,0.0,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Davide Faraoni,ITA,DF,32,Hellas Verona,Serie A,6.7,0,7,1,14.3,1.05,0.15,0.0,0.0,17.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Bruno Amione,ARG,DF,22,Hellas Verona,Serie A,6.4,0,5,3,60.0,0.78,0.47,0.0,0.0,9.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
